,datapoint,attr_val,data_values,flipset_values,score
0,4571,1,"[0, 1, 3, 1570, 0, 0, 5, 1, 1570, 0, False]","[0, 1, 3, 1570, 0, 0, 5, 1.9999999999999998, 1570, 0, True]",0.9999999999999998
1,4950,1,"[0, 1, 2, 3710, 150, 0, 0, 1, 3710, 150, False]","[0, 1, 2, 3710, 150, 0, 0, 1.9999999999999998, 3710, 150, True]",0.9999999999999998
2,5991,0,"[1, 0, 2, 670, 670, 1, 6, 0, 140, 60, False]","[1, 0, 2, 670, 670, 1, 6, 0.9999999999999999, 140, 60, True]",0.9999999999999999
3,6374,1,"[0, 1, 3, 950, 160, 0, 1, 0, 810, 160, False]","[0, 1, 3, 950, 160, 0, 1, 0.9999999999999999, 810, 160, True]",0.9999999999999999
4,9198,1,"[0, 1, 2, 350, 60, 0, 5, 0, 150, 60, False]","[0, 1, 2, 350, 60, 0, 5, 0.9999999999999999, 150, 60, True]",0.9999999999999999
5,2374,1,"[0, 1, 3, 10, 0, 0, 6, 0, 10, 0, False]","[0, 1, 3, 10, 0, 0, 6, 0.9999999999999999, 10, 0, True]",0.9999999999999999
6,9188,1,"[0, 1, 1, 30, 0, 0, 6, 0, 30, 0, False]","[0, 1, 1, 30, 0, 0, 6, 0.9999999999999999, 30, 0, True]",0.9999999999999999
7,1373,1,"[0, 1, 3, 2680, 100, 0, 0, 0, 2410, 90, False]","[0, 1, 3, 2680, 100, 0, 0, 0.9999999999999999, 2410, 90, True]",0.9999999999999999
8,4406,0,"[1, 0, 2, 460, 20, 1, 6, 0, 460, 0, False]","[1, 0, 2, 460, 20, 1, 6, 0.9999999999999999, 460, 0, True]",0.9999999999999999
9,546,1,"[0, 1, 2, 270, 0, 0, 6, 0, 270, 0, False]","[0, 1, 2, 270, 0, 0, 6, 0.9999999999999999, 270, 0, True]",0.9999999999999999
10,2380,1,"[0, 1, 2, 420, 60, 0, 6, 0, 310, 40, False]","[0, 1, 2, 420, 60, 0, 6, 0.9999999999999999, 310, 40, True]",0.9999999999999999
11,9932,1,"[0, 1, 1, 50, 0, 0, 6, 0, 50, 0, False]","[0, 1, 1, 50, 0, 0, 6, 0.9999999999999999, 50, 0, True]",0.9999999999999999
12,4408,1,"[0, 1, 2, 250, 40, 0, 6, 0, 250, 40, False]","[0, 1, 2, 250, 40, 0, 6, 0.9999999999999999, 250, 40, True]",0.9999999999999999
13,3012,1,"[0, 1, 3, 2800, 120, 0, 0, 0, 2760, 100, False]","[0, 1, 3, 2800, 120, 0, 0, 0.9999999999999999, 2760, 100, True]",0.9999999999999999
14,5279,0,"[1, 0, 2, 320, 220, 1, 6, 0, 320, 0, False]","[1, 0, 2, 320, 220, 1, 6, 0.9999999999999999, 320, 0, True]",0.9999999999999999
15,4948,0,"[1, 0, 3, 910, 140, 1, 6, 0, 910, 50, False]","[1, 0, 3, 910, 140, 1, 6, 0.9999999999999999, 910, 50, True]",0.9999999999999999
16,2158,0,"[1, 0, 1, 280, 190, 1, 6, 0, 70, 150, False]","[1, 0, 1, 280, 190, 1, 6, 0.9999999999999999, 70, 150, True]",0.9999999999999999
17,3035,1,"[0, 1, 2, 140, 70, 0, 6, 0, 80, 70, False]","[0, 1, 2, 140, 70, 0, 6, 0.9999999999999999, 80, 70, True]",0.9999999999999999
18,2147,0,"[1, 0, 2, 4580, 210, 0, 0, 0, 4410, 210, False]","[1, 0, 2, 4580, 210, 0, 0, 0.9999999999999999, 4410, 210, True]",0.9999999999999999
19,9104,1,"[0, 1, 3, 270, 80, 0, 6, 0, 170, 50, False]","[0, 1, 3, 270, 80, 0, 6, 0.9999999999999999, 170, 50, True]",0.9999999999999999
20,586,1,"[0, 1, 1, 1050, 150, 0, 5, 0, 650, 60, False]","[0, 1, 1, 1050, 150, 0, 5, 0.9999999999999999, 650, 60, True]",0.9999999999999999
21,9815,1,"[0, 1, 3, 850, 220, 0, 1, 0, 560, 220, False]","[0, 1, 3, 850, 220, 0, 1, 0.9999999999999999, 560, 220, True]",0.9999999999999999
22,6209,1,"[0, 1, 2, 680, 60, 0, 6, 0, 660, 0, False]","[0, 1, 2, 680, 60, 0, 6, 0.9999999999999999, 660, 0, True]",0.9999999999999999
23,4186,1,"[0, 1, 2, 890, 610, 0, 0, 0, 610, 240, False]","[0, 1, 2, 890, 610, 0, 0, 0.9999999999999999, 610, 240, True]",0.9999999999999999
24,9510,1,"[0, 1, 3, 180, 50, 0, 6, 0, 140, 0, False]","[0, 1, 3, 180, 50, 0, 6, 0.9999999999999999, 140, 0, True]",0.9999999999999999
25,3460,1,"[0, 1, 2, 1040, 60, 0, 4, 0, 1030, 40, False]","[0, 1, 2, 1040, 60, 0, 4.0, 0.9999999999999999, 1030, 40, True]",0.9999999999999999
26,2124,1,"[0, 1, 3, 910, 70, 0, 4, 0, 710, 60, False]","[0, 1, 3, 910, 70, 0, 4, 0.9999999999999999, 710, 60, True]",0.9999999999999999
27,6619,1,"[0, 1, 3, 10, 0, 0, 6, 0, 10, 0, False]","[0, 1, 3, 10, 0, 0, 6, 0.9999999999999999, 10, 0, True]",0.9999999999999999
28,1736,1,"[0, 1, 3, 330, 30, 0, 6, 0, 330, 30, False]","[0, 1, 3, 330, 30, 0, 6, 0.9999999999999999, 330, 30, True]",0.9999999999999999
29,7285,0,"[1, 0, 3, 140, 80, 1, 6, 0, 140, 60, False]","[1, 0, 3, 140, 80, 1, 6, 0.9999999999999999, 140, 60, True]",0.9999999999999999
30,7308,0,"[1, 0, 1, 1800, 290, 1, 3, 0, 1800, 70, False]","[1, 0, 1, 1800, 290, 1, 3, 0.9999999999999999, 1800, 70, True]",0.9999999999999999
31,8201,1,"[0, 1, 1, 30, 0, 0, 6, 0, 30, 0, False]","[0, 1, 1, 30, 0, 0, 6, 0.9999999999999999, 30, 0, True]",0.9999999999999999
32,3369,0,"[1, 0, 1, 1310, 120, 0, 6, 0, 1150, 120, False]","[1, 0, 1, 1310, 120, 0, 6, 0.9999999999999999, 1150, 120, True]",0.9999999999999999
33,2778,0,"[1, 0, 2, 260, 60, 1, 6, 0, 260, 40, False]","[1, 0, 2, 260, 60, 1, 6, 0.9999999999999999, 260, 40, True]",0.9999999999999999
34,7886,1,"[0, 1, 3, 10, 0, 0, 6, 0, 10, 0, False]","[0, 1, 3, 10, 0, 0, 6, 0.9999999999999999, 10, 0, True]",0.9999999999999999
35,9725,0,"[1, 0, 2, 100, 100, 1, 6, 0, 10, 100, False]","[1, 0, 2, 100, 100, 1, 6, 0.9999999999999999, 10, 100, True]",0.9999999999999999
36,9567,1,"[0, 1, 3, 260, 60, 0, 6, 0, 140, 0, False]","[0, 1, 3, 260, 60, 0, 6, 0.9999999999999999, 140, 0, True]",0.9999999999999999
37,487,1,"[0, 1, 3, 10, 0, 0, 6, 0, 10, 0, False]","[0, 1, 3, 10, 0, 0, 6, 0.9999999999999999, 10, 0, True]",0.9999999999999999
38,7171,1,"[0, 1, 3, 10, 0, 0, 6, 0, 10, 0, False]","[0, 1, 3, 10, 0, 0, 6, 0.9999999999999999, 10, 0, True]",0.9999999999999999
39,3363,0,"[1, 0, 3, 460, 460, 1, 6, 0, 10, 10, False]","[1, 0, 3, 460, 460, 1, 6, 0.9999999999999999, 10, 10, True]",0.9999999999999999
40,8371,1,"[0, 1, 2, 50, 50, 0, 6, 0, 50, 50, False]","[0, 1, 2, 50, 50, 0, 6, 0.9999999999999999, 50, 50, True]",0.9999999999999999
41,6184,1,"[0, 1, 1, 50, 0, 0, 6, 0, 50, 0, False]","[0, 1, 1, 50, 0, 0, 6, 0.9999999999999999, 50, 0, True]",0.9999999999999999
42,8199,1,"[0, 1, 3, 320, 40, 0, 6, 0, 240, 40, False]","[0, 1, 3, 320, 40, 0, 6, 0.9999999999999999, 240, 40, True]",0.9999999999999999
43,4384,1,"[0, 1, 2, 590, 60, 0, 5, 0, 590, 60, False]","[0, 1, 2, 590, 60, 0, 5, 0.9999999999999999, 590, 60, True]",0.9999999999999999
44,8395,0,"[0, 0, 3, 50, 0, 0, 6, 0, 50, 0, False]","[0, 0, 3, 50, 0, 0, 6, 0.9999999999999999, 50, 0, True]",0.9999999999999999
45,5704,1,"[0, 1, 3, 60, 30, 0, 6, 0, 40, 30, False]","[0, 1, 3, 60, 30, 0, 6, 0.9999999999999999, 40, 30, True]",0.9999999999999999
46,5894,1,"[0, 1, 1, 30, 0, 0, 6, 0, 30, 0, False]","[0, 1, 1, 30, 0, 0, 6, 0.9999999999999999, 30, 0, True]",0.9999999999999999
47,7513,1,"[0, 1, 2, 1240, 140, 0, 3, 0, 1240, 50, False]","[0, 1, 2, 1240, 140, 0, 3, 0.9999999999999999, 1240, 50, True]",0.9999999999999999
48,9721,0,"[1, 0, 2, 1010, 520, 1, 2, 0, 830, 190, False]","[1, 0, 2, 1010, 520, 1, 2, 0.9999999999999999, 830, 190, True]",0.9999999999999999
49,6053,0,"[1, 0, 3, 2510, 100, 0, 6, 0, 2290, 100, False]","[1, 0, 3, 2510, 100, 0, 6, 0.9999999999999999, 2290, 100, True]",0.9999999999999999
50,7812,0,"[1, 0, 2, 340, 160, 1, 6, 0, 30, 140, False]","[1, 0, 2, 340, 160, 1, 6, 0.9999999999999999, 30, 140, True]",0.9999999999999999
51,8457,1,"[0, 1, 2, 240, 140, 1, 2, 0, 220, 60, False]","[0, 1, 2, 240, 140, 1, 1.9999999999999998, 0.9999999999999999, 220, 60, True]",0.9999999999999999
52,8827,1,"[0, 1, 2, 70, 0, 0, 6, 0, 70, 0, False]","[0, 1, 2, 70, 0, 0, 6, 1.0, 70, 0, True]",1.0
53,6959,1,"[0, 1, 3, 540, 100, 0, 6, 0, 540, 0, False]","[0, 1, 3, 540, 100, 0, 6, 1.0, 540, 0, True]",1.0
54,1549,1,"[0, 1, 2, 1430, 210, 0, 2, 0, 870, 150, False]","[0, 1, 2, 1430, 210, 0, 2, 1.0, 870, 150, True]",1.0
55,6963,1,"[0, 1, 1, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 1, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
56,4194,1,"[0, 1, 3, 2380, 150, 0, 0, 0, 2300, 120, False]","[0, 1, 3, 2380, 150, 0, 0, 1.0, 2300, 120, True]",1.0
57,4170,1,"[0, 1, 2, 2280, 620, 0, 0, 0, 2280, 90, False]","[0, 1, 2, 2280, 620, 0, 0, 1.0, 2280, 90, True]",1.0
58,1547,1,"[0, 1, 2, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 2, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
59,1546,0,"[1, 0, 2, 3320, 310, 0, 0, 0, 2960, 310, False]","[1, 0, 2, 3320, 310, 0, 0, 1.0, 2960, 310, True]",1.0
60,6971,1,"[0, 1, 3, 230, 40, 0, 6, 0, 180, 0, False]","[0, 1, 3, 230, 40, 0, 6, 1.0, 180, 0, True]",1.0
61,1456,1,"[0, 1, 3, 50, 30, 0, 6, 0, 50, 30, False]","[0, 1, 3, 50, 30, 0, 6, 1.0, 50, 30, True]",1.0
62,1541,1,"[0, 1, 2, 130, 0, 0, 6, 0, 130, 0, False]","[0, 1, 2, 130, 0, 0, 6, 1.0, 130, 0, True]",1.0
63,8735,1,"[0, 1, 2, 30, 0, 0, 6, 0, 30, 0, False]","[0, 1, 2, 30, 0, 0, 6, 1.0, 30, 0, True]",1.0
64,4168,0,"[1, 0, 3, 60, 60, 1, 6, 0, 60, 30, False]","[1, 0, 3, 60, 60, 1, 6, 1.0, 60, 30, True]",1.0
65,4289,1,"[0, 1, 3, 960, 50, 0, 3, 0, 960, 50, False]","[0, 1, 3, 960, 50, 0, 2.0, 0, 960, 50, True]",1.0
66,4192,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
67,8842,1,"[0, 1, 3, 320, 90, 0, 5, 0, 240, 90, False]","[0, 1, 3, 320, 90, 0, 5, 1.0, 240, 90, True]",1.0
68,1505,1,"[0, 1, 2, 170, 60, 0, 6, 0, 170, 60, False]","[0, 1, 2, 170, 60, 0, 6, 1.0, 170, 60, True]",1.0
69,1509,1,"[0, 1, 3, 10, 10, 0, 6, 0, 10, 10, False]","[0, 1, 3, 10, 10, 0, 6, 1.0, 10, 10, True]",1.0
70,1478,1,"[0, 1, 2, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 2, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
71,6900,1,"[0, 1, 3, 2260, 120, 0, 0, 0, 2260, 120, False]","[0, 1, 3, 2260, 120, 0, 0, 1.0, 2260, 120, True]",1.0
72,8785,1,"[0, 1, 3, 10, 10, 0, 6, 0, 10, 10, False]","[0, 1, 3, 10, 10, 0, 6, 1.0, 10, 10, True]",1.0
73,6909,1,"[0, 1, 2, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 2, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
74,8792,1,"[0, 1, 2, 2310, 200, 0, 0, 0, 2070, 100, False]","[0, 1, 2, 2310, 200, 0, 0, 1.0, 2070, 100, True]",1.0
75,8810,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
76,4159,0,"[1, 0, 3, 780, 780, 1, 6, 0, 320, 60, False]","[1, 0, 3, 780, 780, 1, 6, 1.0, 320, 60, True]",1.0
77,6912,1,"[0, 1, 2, 230, 30, 0, 6, 0, 180, 30, False]","[0, 1, 2, 230, 30, 0, 6, 1.0, 180, 30, True]",1.0
78,8772,1,"[0, 1, 3, 2250, 110, 0, 0, 0, 2250, 110, False]","[0, 1, 3, 2250, 110, 0, 0, 1.0, 2250, 110, True]",1.0
79,8758,1,"[0, 1, 2, 50, 0, 0, 6, 0, 50, 0, False]","[0, 1, 2, 50, 0, 0, 6, 1.0, 50, 0, True]",1.0
80,8771,1,"[0, 1, 2, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 2, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
81,8764,1,"[0, 1, 3, 260, 0, 0, 6, 0, 260, 0, False]","[0, 1, 3, 260, 0, 0, 6, 1.0, 260, 0, True]",1.0
82,6920,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
83,6923,0,"[1, 0, 2, 240, 40, 1, 6, 0, 200, 40, False]","[1, 0, 2, 240, 40, 1, 6, 1.0, 200, 40, True]",1.0
84,4225,1,"[0, 1, 1, 2600, 100, 0, 0, 0, 2590, 100, False]","[0, 1, 1, 2600, 100, 0, 0, 1.0, 2590, 100, True]",1.0
85,4210,0,"[1, 0, 2, 80, 80, 1, 6, 0, 20, 80, False]","[1, 0, 2, 80, 80, 1, 6, 1.0, 20, 80, True]",1.0
86,6877,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
87,4209,0,"[1, 0, 1, 890, 460, 1, 6, 0, 890, 30, False]","[1, 0, 1, 890, 460, 1, 6, 1.0, 890, 30, True]",1.0
88,1464,1,"[0, 1, 2, 990, 1030, 1, 0, 0, 670, 60, False]","[0, 1, 2, 990, 1030, 1, 0, 1.0, 670, 60, True]",1.0
89,6870,1,"[0, 1, 2, 2630, 120, 0, 0, 0, 2490, 120, False]","[0, 1, 2, 2630, 120, 0, 0, 1.0, 2490, 120, True]",1.0
90,6918,0,"[1, 0, 3, 60, 60, 1, 6, 0, 0, 60, False]","[1, 0, 3, 60, 60, 1, 6, 1.0, 0, 60, True]",1.0
91,6784,1,"[0, 1, 2, 220, 40, 0, 6, 0, 180, 40, False]","[0, 1, 2, 220, 40, 0, 6, 1.0, 180, 40, True]",1.0
92,4093,0,"[1, 0, 3, 290, 290, 0, 6, 0, 290, 290, False]","[1, 0, 3, 290, 290, 0, 6, 1.0, 290, 290, True]",1.0
93,6979,1,"[0, 1, 2, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 2, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
94,8557,1,"[0, 1, 1, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 1, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
95,3976,1,"[0, 1, 2, 1920, 120, 0, 4, 1, 1920, 120, False]","[0, 1, 2, 1920, 120, 0, 4, 2.0, 1920, 120, True]",1.0
96,3969,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
97,1716,0,"[1, 0, 2, 3060, 670, 0, 0, 0, 2770, 310, False]","[1, 0, 2, 3060, 670, 0, 0, 1.0, 2770, 310, True]",1.0
98,8546,1,"[0, 1, 2, 80, 0, 0, 6, 0, 80, 0, False]","[0, 1, 2, 80, 0, 0, 6, 1.0, 80, 0, True]",1.0
99,8545,1,"[0, 1, 3, 120, 0, 0, 6, 0, 120, 0, False]","[0, 1, 3, 120, 0, 0, 6, 1.0, 120, 0, True]",1.0
100,8516,1,"[0, 1, 2, 150, 60, 0, 6, 0, 150, 50, False]","[0, 1, 2, 150, 60, 0, 6, 1.0, 150, 50, True]",1.0
101,3940,0,"[1, 0, 3, 310, 190, 1, 6, 0, 310, 60, False]","[1, 0, 3, 310, 190, 1, 6, 1.0, 310, 60, True]",1.0
102,7117,0,"[1, 0, 2, 460, 80, 1, 6, 0, 460, 30, False]","[1, 0, 2, 460, 80, 1, 6, 1.0, 460, 30, True]",1.0
103,3915,0,"[1, 0, 3, 200, 130, 1, 6, 0, 130, 90, False]","[1, 0, 3, 200, 130, 1, 6, 1.0, 130, 90, True]",1.0
104,7143,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
105,8488,1,"[0, 1, 1, 10, 10, 0, 6, 0, 10, 10, False]","[0, 1, 1, 10, 10, 0, 6, 1.0, 10, 10, True]",1.0
106,3875,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
107,1705,1,"[0, 1, 3, 380, 40, 0, 6, 0, 320, 40, False]","[0, 1, 3, 380, 40, 0, 6, 1.0, 320, 40, True]",1.0
108,8481,0,"[1, 0, 2, 220, 80, 1, 6, 0, 220, 30, False]","[1, 0, 2, 220, 80, 1, 6, 1.0, 220, 30, True]",1.0
109,8454,1,"[0, 1, 2, 1760, 530, 1, 3, 2, 1760, 60, False]","[0, 1, 2, 1760, 530, 1, 3, 3.0, 1760, 60, True]",1.0
110,3833,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
111,3831,1,"[0, 1, 2, 580, 50, 0, 6, 0, 530, 0, False]","[0, 1, 2, 580, 50, 0, 6, 1.0, 530, 0, True]",1.0
112,1821,1,"[0, 1, 2, 1390, 60, 0, 4, 1, 1390, 60, False]","[0, 1, 2, 1390, 60, 0, 3.0, 1, 1390, 60, True]",1.0
113,7175,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
114,8421,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
115,7196,1,"[0, 1, 2, 10, 10, 0, 6, 0, 10, 10, False]","[0, 1, 2, 10, 10, 0, 6, 1.0, 10, 10, True]",1.0
116,3787,1,"[0, 1, 3, 0, 0, 0, 6, 0, 0, 0, False]","[0, 1, 3, 0, 0, 0, 6, 1.0, 0, 0, True]",1.0
117,3784,0,"[1, 0, 2, 920, 400, 1, 5, 0, 690, 80, False]","[1, 0, 2, 920, 400, 1, 5, 1.0, 690, 80, True]",1.0
118,7207,1,"[0, 1, 3, 2480, 170, 0, 0, 0, 2230, 120, False]","[0, 1, 3, 2480, 170, 0, 0, 1.0, 2230, 120, True]",1.0
119,8374,1,"[0, 1, 3, 240, 30, 0, 6, 0, 240, 30, False]","[0, 1, 3, 240, 30, 0, 6, 1.0, 240, 30, True]",1.0
120,7209,0,"[1, 0, 2, 4350, 210, 0, 0, 0, 4350, 210, False]","[1, 0, 2, 4350, 210, 0, 0, 1.0, 4350, 210, True]",1.0
