,datapoint,attr_val,data_values,flipset_values,score
0,416,1,"[1, 1, 33, 12, 0, 2579, 4, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, False]","[1, 1, 33, 12, 0, 2579, 4, 1, 1, 1, 2, 0.9999999999999999, 1, 1, 0, 1, 1, 0, True]",0.9999999999999999
1,481,1,"[1, 1, 26, 24, 0, 1201, 4, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0, False]","[1, 1, 26, 24, 0, 1201, 4, 1, 1, 1, 1, 0.9999999999999999, 1, 2, 0, 1, 1, 0, True]",0.9999999999999999
2,503,1,"[1, 1, 38, 24, 3, 1216, 4, 1, 1, 2, 2, 0, 1, 2, 0, 1, 4, 0, False]","[1, 1, 38, 24, 3, 1216, 4, 1, 1, 2, 2, 0.9999999999999999, 1, 2, 0, 1, 4, 0, True]",0.9999999999999999
3,203,0,"[1, 0, 21, 12, 8, 902, 4, 1, 1, 1, 1, 0, 3, 2, 0, 0, 4, 0, False]","[1, 0, 21, 12, 8, 902, 4, 1, 1, 1, 1, 0.9999999999999999, 3, 2, 0, 0, 4, 0, True]",0.9999999999999999
4,201,0,"[1, 0, 27, 12, 0, 1168, 4, 1, 1, 1, 1, 0, 2, 1, 0, 1, 3, 0, False]","[1, 0, 27, 12, 0, 1168, 4, 1, 1, 1, 1, 0.9999999999999999, 2, 1, 0, 1, 3, 0, True]",0.9999999999999999
5,937,0,"[1, 0, 30, 6, 3, 2063, 4, 1, 1, 1, 1, 0, 1, 3, 0, 0, 3, 1, False]","[1, 0, 30, 6, 3, 2063, 4, 1, 1, 1, 1, 0.9999999999999999, 1, 3, 0, 0, 3, 1, True]",0.9999999999999999
6,166,0,"[2, 0, 33, 18, 2, 1131, 4, 1, 1, 1, 1, 0, 0, 2, 1, 1, 2, 0, False]","[2, 0, 33, 18, 2, 1131, 4, 1, 1, 1, 1, 0.9999999999999999, 0, 2, 1, 1, 2, 0, True]",0.9999999999999999
7,604,0,"[2, 0, 23, 10, 2, 1275, 4, 1, 1, 1, 1, 0, 1, 2, 0, 1, 2, 0, False]","[2, 0, 23, 10, 2, 1275, 4, 1, 1, 1, 1, 0.9999999999999999, 1, 2, 0, 1, 2, 0, True]",0.9999999999999999
8,821,0,"[1, 0, 24, 12, 3, 3016, 3, 1, 1, 1, 1, 0, 2, 2, 0, 1, 1, 0, False]","[1, 0, 24, 12, 3, 3016, 3, 1, 1, 1, 1, 1.0, 2, 2, 0, 1, 1, 0, True]",1.0
9,368,1,"[1, 1, 42, 36, 2, 3446, 4, 1, 1, 1, 2, 0, 4, 2, 0, 1, 2, 0, False]","[1, 1, 42, 36, 2, 3446, 4, 1, 1, 1, 2, 1.0, 4, 2, 0, 1, 2, 0, True]",1.0
10,367,0,"[2, 0, 22, 18, 2, 3650, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 4, 0, False]","[2, 0, 22, 18, 2, 3650, 1, 1, 1, 1, 1, 1.0, 1, 2, 0, 0, 4, 0, True]",1.0
11,364,1,"[1, 1, 25, 18, 2, 2473, 4, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, False]","[1, 1, 25, 18, 2, 2473, 4, 1, 1, 1, 1, 1.0, 0, 0, 1, 1, 1, 0, True]",1.0
12,355,1,"[1, 1, 23, 24, 0, 1246, 4, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, False]","[1, 1, 23, 24, 0, 1246, 4, 1, 1, 1, 1, 1.0, 1, 1, 0, 1, 2, 0, True]",1.0
13,474,0,"[1, 0, 33, 18, 3, 1245, 4, 1, 1, 1, 1, 0, 2, 2, 0, 1, 2, 0, False]","[1, 0, 33, 18, 3, 1245, 4, 1, 1, 1, 1, 1.0, 2, 2, 0, 1, 2, 0, True]",1.0
14,342,0,"[1, 0, 25, 18, 3, 3213, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 3, 0, False]","[1, 0, 25, 18, 3, 3213, 1, 1, 1, 1, 1, 1.0, 1, 2, 0, 0, 3, 0, True]",1.0
15,339,0,"[1, 0, 31, 10, 2, 1521, 4, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 0, False]","[1, 0, 31, 10, 2, 1521, 4, 1, 1, 1, 1, 1.0, 2, 1, 0, 1, 2, 0, True]",1.0
16,735,0,"[2, 0, 29, 36, 4, 3990, 3, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, False]","[2, 0, 29, 36, 4, 3990, 3, 1, 0, 1, 1, 1.0, 1, 0, 0, 1, 2, 0, True]",1.0
17,831,0,"[2, 0, 23, 18, 0, 1216, 4, 1, 1, 1, 1, 0, 1, 2, 0, 0, 3, 1, False]","[2, 0, 23, 18, 0, 1216, 4, 1, 1, 1, 1, 1.0, 1, 2, 0, 0, 3, 1, True]",1.0
18,328,1,"[1, 1, 31, 36, 3, 4473, 4, 1, 1, 1, 1, 0, 4, 2, 0, 1, 2, 0, False]","[1, 1, 31, 36, 3, 4473, 4, 1, 1, 1, 1, 1.0, 4, 2, 0, 1, 2, 0, True]",1.0
19,315,1,"[1, 1, 31, 36, 2, 2746, 4, 1, 1, 1, 1, 0, 4, 2, 0, 1, 4, 0, False]","[1, 1, 31, 36, 2, 2746, 4, 1, 1, 1, 1, 1.0, 4, 2, 0, 1, 4, 0, True]",1.0
20,312,0,"[2, 0, 26, 24, 2, 3749, 2, 1, 1, 1, 1, 0, 1, 2, 0, 1, 4, 0, False]","[2, 0, 26, 24, 2, 3749, 2, 1, 1, 1, 1, 1.0, 1, 2, 0, 1, 4, 0, True]",1.0
21,309,0,"[1, 0, 22, 9, 0, 276, 4, 1, 1, 1, 1, 0, 2, 1, 0, 0, 4, 0, False]","[1, 0, 22, 9, 0, 276, 4, 1, 1, 1, 1, 1.0, 2, 1, 0, 0, 4, 0, True]",1.0
22,862,0,"[2, 0, 35, 24, 3, 2439, 4, 1, 1, 1, 1, 0, 1, 2, 0, 1, 4, 1, False]","[2, 0, 35, 24, 3, 2439, 4, 1, 1, 1, 1, 1.0, 1, 2, 0, 1, 4, 1, True]",1.0
23,387,1,"[1, 1, 40, 18, 2, 7374, 4, 1, 1, 2, 1, 0, 0, 3, 1, 1, 4, 1, False]","[1, 1, 40, 18, 2, 7374, 4, 1, 1, 2, 1, 1.0, 0, 3, 1, 1, 4, 1, True]",1.0
24,347,0,"[2, 0, 23, 24, 3, 3758, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 4, 0, False]","[2, 0, 23, 24, 3, 3758, 1, 1, 1, 1, 1, 1.0, 0, 0, 1, 0, 4, 0, True]",1.0
