NoDefaultNextMonth (label),Married,Single,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,EducationLevel_ord_0,EducationLevel_ord_1,EducationLevel_ord_2,EducationLevel_ord_3
0.0,0,1,890,150,0,5,0,890,50,1.0,1.0,1.0,0.0
0.0,1,0,1510,60,0,0,3,1430,60,1.0,1.0,1.0,0.0
0.0,1,0,1090,1120,1,2,0,260,60,1.0,1.0,1.0,0.0
0.0,0,1,1970,80,0,0,3,1970,80,1.0,1.0,1.0,1.0
0.0,0,1,16570,1680,0,0,5,11240,1680,1.0,1.0,1.0,1.0
0.0,0,1,360,50,4,6,0,360,10,1.0,1.0,1.0,0.0
0.0,1,0,430,100,0,6,0,340,100,1.0,1.0,0.0,0.0
0.0,0,1,420,400,1,4,0,0,0,1.0,1.0,0.0,0.0
0.0,0,1,340,110,1,6,0,340,70,1.0,1.0,0.0,0.0
0.0,0,1,680,680,2,6,0,370,670,1.0,1.0,1.0,1.0
0.0,0,1,370,200,0,6,0,370,30,1.0,1.0,1.0,0.0
0.0,0,1,2160,90,0,0,0,2160,90,1.0,1.0,1.0,1.0
0.0,0,0,1550,50,0,0,1,1550,0,1.0,1.0,0.0,0.0
0.0,1,0,7730,5970,1,1,0,7730,320,1.0,1.0,1.0,1.0
0.0,1,0,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,0,0,0,6,0,0,0,1.0,1.0,1.0,1.0
0.0,0,1,1170,1030,1,4,0,1170,90,1.0,1.0,0.0,0.0
0.0,0,1,250,180,2,6,0,140,180,1.0,1.0,1.0,1.0
0.0,0,1,1450,60,0,0,2,1450,60,1.0,1.0,0.0,0.0
0.0,0,1,690,50,0,0,0,690,40,1.0,1.0,0.0,0.0
0.0,1,0,930,930,2,5,0,20,100,1.0,1.0,0.0,0.0
0.0,0,1,560,50,0,0,0,470,50,1.0,1.0,1.0,1.0
0.0,0,1,1130,1140,3,6,0,510,530,1.0,1.0,1.0,1.0
0.0,0,1,2840,110,0,0,4,2840,90,1.0,1.0,1.0,1.0
0.0,1,0,2180,2180,3,6,0,330,130,1.0,1.0,1.0,0.0
0.0,1,0,950,950,2,6,0,420,150,1.0,1.0,1.0,1.0
0.0,0,1,920,20,5,6,0,920,0,1.0,1.0,1.0,1.0
0.0,1,0,5690,250,0,0,0,5690,250,1.0,1.0,1.0,0.0
0.0,0,1,570,1460,1,4,0,460,50,1.0,1.0,1.0,0.0
0.0,0,1,550,300,2,6,0,20,280,1.0,1.0,1.0,1.0
0.0,0,1,19200,5770,0,0,1,6680,310,1.0,1.0,1.0,1.0
0.0,0,1,2060,140,0,0,6,2060,90,1.0,1.0,1.0,1.0
0.0,0,1,180,90,0,1,0,60,50,1.0,1.0,1.0,0.0
