GoodCustomer,Gender,Single,Age,Duration,LoanPurpose,LoanAmount,LoanRateAtPercentOfIncome,HasCheckingAccount,HasSavingsAccount,NumberOfExistingLoans,NumberOfLiableIndividuals,HasOtherDebtor,LengthOfEmployment,JobType,Unemployed,RentsOwnsHome,YearsInCurrentHome,HasTelephone
1,1,1,67,6,3,1169,4,1,0,2,1,0,4,2,0,1,4,1
-1,2,0,22,48,3,5951,2,1,1,1,1,0,2,2,0,1,2,0
1,1,1,49,12,6,2096,2,0,1,1,2,0,3,1,0,1,3,0
1,1,1,45,42,2,7882,2,1,1,1,2,2,3,2,0,2,4,0
-1,1,1,53,24,0,4870,3,1,1,2,2,0,2,2,0,2,4,0
1,1,1,35,36,6,9055,2,0,0,1,2,0,2,1,0,2,4,1
1,1,1,53,24,2,2835,3,0,1,1,1,0,4,2,0,1,4,0
1,1,1,35,36,1,6948,2,1,1,1,1,0,2,3,0,0,2,1
1,1,0,61,12,3,3059,2,0,1,1,1,0,3,1,0,1,4,0
-1,1,0,28,30,0,5234,4,1,1,2,1,0,0,3,1,1,2,0
-1,2,0,25,12,0,1295,3,1,1,1,1,0,1,2,0,0,1,0
-1,2,0,24,48,9,4308,3,1,1,1,1,0,1,2,0,0,4,0
1,2,0,22,12,3,1567,1,1,1,1,1,0,2,2,0,1,1,1
-1,1,1,60,24,0,1199,4,1,1,2,1,0,4,1,0,1,4,0
1,2,0,28,15,0,1403,2,1,1,1,1,0,2,2,0,0,4,0
-1,2,0,32,24,3,1282,4,1,1,1,1,0,2,1,0,1,2,0
1,1,1,53,24,3,2424,4,0,0,2,1,0,4,2,0,1,4,0
1,1,1,25,30,9,8072,2,1,0,3,1,0,1,2,0,1,3,0
-1,2,0,44,24,1,12579,4,1,1,1,1,0,4,3,0,2,2,1
1,1,1,31,24,3,3430,3,0,1,1,2,0,4,2,0,1,2,1
1,1,1,48,9,0,2134,4,0,1,3,1,0,2,2,0,1,4,1
1,1,1,44,6,3,2647,2,1,1,1,2,0,2,2,0,0,3,0
1,1,1,48,10,0,2241,1,1,1,2,2,0,1,1,0,0,3,0
1,1,1,44,12,1,1804,3,1,1,1,1,0,1,2,0,1,4,0
1,1,0,26,10,2,2069,2,0,0,2,1,0,2,2,0,1,1,0
1,1,1,36,6,2,1374,1,1,1,1,1,0,2,1,0,1,2,1
1,1,0,39,6,3,426,4,0,1,1,1,0,4,1,0,1,4,0
1,2,0,42,12,3,409,3,1,1,2,1,0,2,2,0,0,3,0
1,1,1,34,7,3,2415,3,1,1,1,1,2,2,2,0,1,2,0
-1,1,1,63,60,9,6836,3,1,1,2,1,0,4,2,0,1,4,1
1,1,0,36,18,9,1913,3,1,1,1,1,0,1,2,0,1,3,1
1,1,1,27,24,2,4020,2,1,1,1,1,0,2,2,0,1,2,0
1,1,1,30,18,0,5866,2,1,1,2,1,0,2,2,0,1,2,1
1,1,1,57,12,9,1264,4,0,0,1,1,0,4,1,0,0,4,0
1,2,0,33,12,2,1474,4,1,1,1,1,0,1,3,0,1,1,1
-1,1,1,25,45,3,4746,4,1,1,2,1,0,1,1,0,1,2,0
1,1,1,31,48,6,6110,1,0,1,1,1,0,2,2,0,2,3,1
-1,1,1,37,18,3,2100,4,1,1,1,1,1,2,2,0,1,2,0
1,1,1,37,10,4,1225,2,1,1,1,1,0,2,2,0,1,2,1
1,1,1,24,9,3,458,4,1,1,1,1,0,2,2,0,1,3,0
1,1,1,30,30,3,2333,4,0,1,1,1,0,4,3,0,1,2,0
