Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,1.2,0.026913101172297244,0.08278028235704885,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.2,0.02335192213451364,0.1534840744413588,0.2984718486363297
german,190,attr_val,78,41,score,1.3,0.025832299718238052,0.08232507273962175,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.3,0.023225665874527138,0.15215280570722267,0.29574017974306777
german,190,attr_val,78,41,score,1.4,0.026769104267280533,0.08289075269941788,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.4,0.023217324332657278,0.15208306335027807,0.2956025956496351
german,190,attr_val,78,41,score,1.5,0.026665872958738523,0.08260690431167002,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.5,0.023217324332657278,0.15208306335027807,0.2956025956496351
german,190,attr_val,78,41,score,1.6,0.024726195055224227,0.08414706362047783,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.6,0.023217324332657278,0.15208306335027807,0.2956025956496351
german,190,attr_val,78,41,score,1.7,0.025783614431196093,0.08315257445820579,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.7,0.023217324332657278,0.15208306335027807,0.2956025956496351
german,190,attr_val,78,41,score,1.8,0.02673730451376796,0.08343913319111033,0.12094754376037348
credit,4804,attr_val,3064,64,score,1.8,0.023217324332657278,0.15208306335027807,0.2956025956496351
german,190,attr_val,78,41,score,2.2,0.026198090576974843,0.07908412345914854,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.2,0.023402376325690734,0.15435421881219277,0.30036616318233045
german,190,attr_val,78,41,score,2.3,0.02652216025597033,0.08019110501177043,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.3,0.02327612006570423,0.1530229500780566,0.2976344942890686
german,190,attr_val,78,41,score,2.4,0.026316263078639178,0.0802417354698489,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.4,0.023267778523834368,0.152953207721112,0.2974969101956359
german,190,attr_val,78,41,score,2.5,0.02652216025597033,0.07981868385345266,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.5,0.023267778523834368,0.152953207721112,0.2974969101956359
german,190,attr_val,78,41,score,2.6,0.02652216025597033,0.08000054834514969,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.6,0.023267778523834368,0.152953207721112,0.2974969101956359
german,190,attr_val,78,41,score,2.7,0.026073290282821997,0.07962876779915116,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.7,0.023267778523834368,0.152953207721112,0.2974969101956359
german,190,attr_val,78,41,score,2.8,0.02652216025597033,0.07958664729864455,0.10673388502137628
credit,4804,attr_val,3064,64,score,2.8,0.023267778523834368,0.152953207721112,0.2974969101956359
german,190,attr_val,78,41,score,3.2,0.026350027553928974,0.07962925375332175,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.2,0.023399008834722384,0.1542777163526237,0.30019261798489894
german,190,attr_val,78,41,score,3.3,0.026433845993055836,0.07957961389173454,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.3,0.02329707636273324,0.15314529521175013,0.2978507677138205
german,190,attr_val,78,41,score,3.4,0.026433845993055836,0.07938742866494726,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.4,0.023296649210862642,0.15314214742158455,0.29784472435433973
german,190,attr_val,78,41,score,3.5,0.026020052795846748,0.0804711234501065,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.5,0.023296649210862642,0.15314214742158455,0.29784472435433973
german,190,attr_val,78,41,score,3.6,0.026433845993055836,0.07915686525376033,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.6,0.023296649210862642,0.15314214742158455,0.29784472435433973
german,190,attr_val,78,41,score,3.7,0.02560342575736419,0.08052211983448924,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.7,0.023296649210862642,0.15314214742158455,0.29784472435433973
german,190,attr_val,78,41,score,3.8,0.02587656997923968,0.08063438943268979,0.11158678517676279
credit,4804,attr_val,3064,64,score,3.8,0.023296649210862642,0.15314214742158455,0.29784472435433973
german,190,attr_val,78,41,score,4.2,0.007740613796013497,0.05571341014215681,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.2,0.02332276059014288,0.15345540027749807,0.2985030226652771
german,190,attr_val,78,41,score,4.3,0.007740613796013497,0.05607384747865658,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.3,0.023282864638260382,0.15318817240799543,0.29800285100779966
german,190,attr_val,78,41,score,4.4,0.007646361537499259,0.055947069970399624,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.4,0.023282437486389786,0.15318502461782987,0.29799680764831893
german,190,attr_val,78,41,score,4.5,0.007425469581962412,0.05603894073311611,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.5,0.023282437486389786,0.15318502461782987,0.29799680764831893
german,190,attr_val,78,41,score,4.6,0.007740613796013497,0.05623974476399508,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.6,0.023282437486389786,0.15318502461782987,0.29799680764831893
german,190,attr_val,78,41,score,4.7,0.007687147341733955,0.056785050042675075,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.7,0.023282437486389786,0.15318502461782987,0.29799680764831893
german,190,attr_val,78,41,score,4.8,0.007597262367434681,0.05573716613972718,0.0849884319959292
credit,4804,attr_val,3064,64,score,4.8,0.023282437486389786,0.15318502461782987,0.29799680764831893
german,190,attr_val,78,41,score,5.2,0.025968479751447657,0.07254903935731058,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.2,0.02330021099347358,0.1533305005431444,0.2982824693620705
german,190,attr_val,78,41,score,5.3,0.02523254392462463,0.07260805528371497,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.3,0.023284848057099485,0.15325065045699554,0.29814432609407
german,190,attr_val,78,41,score,5.4,0.02539896883056449,0.07334101187473156,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.4,0.023284420905228892,0.15324750266682996,0.2981382827345892
german,190,attr_val,78,41,score,5.5,0.02503004528392991,0.07303075767663397,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.5,0.023284420905228892,0.15324750266682996,0.2981382827345892
