Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,400,attr_val,268,67,score,0.0070,0.012203083618250843,0.11066023506112449,0.18126396143538553
credit,400,attr_val,268,67,score,0.010,0.012203083618250843,0.11066023506112449,0.18126396143538553
credit,400,attr_val,268,67,score,0.10,0.012203083618250843,0.11066023506112449,0.18126396143538553
credit,400,attr_val,268,67,score,0.150,0.012203083618250843,0.11066023506112449,0.18126396143538553
credit,400,attr_val,265,66,score,0.0071,0.013276685906465756,0.12283241881706108,0.2490018395448057
credit,400,attr_val,265,66,score,0.011,0.013276685906465756,0.12283241881706108,0.2490018395448057
credit,400,attr_val,265,66,score,0.11,0.013276685906465756,0.12283241881706108,0.2490018395448057
credit,400,attr_val,265,66,score,0.151,0.013276685906465756,0.12283241881706108,0.2490018395448057
credit,400,attr_val,249,62,score,0.0072,0.005937949772088385,0.0723065528612645,0.11817838775552228
credit,400,attr_val,249,62,score,0.012,0.005937949772088385,0.0723065528612645,0.11817838775552228
credit,400,attr_val,249,62,score,0.12,0.005937949772088385,0.0723065528612645,0.11817838775552228
credit,400,attr_val,249,62,score,0.152,0.005937949772088385,0.0723065528612645,0.11817838775552228
credit,400,attr_val,225,56,score,0.0073,0.08287961136915135,0.24026868672635932,0.360412087221541
credit,400,attr_val,225,56,score,0.013,0.08287961136915135,0.24026868672635932,0.360412087221541
credit,400,attr_val,225,56,score,0.13,0.08287961136915135,0.24026868672635932,0.360412087221541
credit,400,attr_val,225,56,score,0.153,0.08287961136915135,0.24026868672635932,0.360412087221541
credit,400,attr_val,269,67,score,0.0074,0.08769545515236869,0.2752995881907921,0.4556525704578375
credit,400,attr_val,269,67,score,0.014,0.08769545515236869,0.2752995881907921,0.4556525704578375
credit,400,attr_val,269,67,score,0.14,0.08769545515236869,0.2752995881907921,0.4556525704578375
credit,400,attr_val,269,67,score,0.154,0.08769545515236869,0.2752995881907921,0.4556525704578375
credit,400,attr_val,257,64,score,0.0075,0.024861444778700892,0.16455855591239898,0.31361576816638076
credit,400,attr_val,257,64,score,0.015,0.024861444778700892,0.16455855591239898,0.31361576816638076
credit,400,attr_val,257,64,score,0.15,0.024861444778700892,0.16455855591239898,0.31361576816638076
credit,400,attr_val,257,64,score,0.155,0.024861444778700892,0.16455855591239898,0.31361576816638076
credit,400,attr_val,251,63,score,0.0076,0.03299489811772194,0.17325887932359976,0.31187421262919024
credit,400,attr_val,251,63,score,0.016,0.03299489811772194,0.17325887932359976,0.31187421262919024
credit,400,attr_val,251,63,score,0.16,0.03299489811772194,0.17325887932359976,0.31187421262919024
credit,400,attr_val,251,63,score,0.156,0.03299489811772194,0.17325887932359976,0.31187421262919024
credit,400,attr_val,249,62,score,0.0077,0.03320339390741776,0.19629043285964476,0.3576981205132426
credit,400,attr_val,249,62,score,0.017,0.03320339390741776,0.19629043285964476,0.3576981205132426
credit,400,attr_val,249,62,score,0.17,0.03320339390741776,0.19629043285964476,0.3576981205132426
credit,400,attr_val,249,62,score,0.157,0.03320339390741776,0.19629043285964476,0.3576981205132426
credit,400,attr_val,254,64,score,0.0078,0.024552048147287873,0.16849487617503042,0.32439359437358434
credit,400,attr_val,254,64,score,0.018,0.024552048147287873,0.16849487617503042,0.32439359437358434
credit,400,attr_val,254,64,score,0.18,0.024552048147287873,0.16849487617503042,0.32439359437358434
credit,400,attr_val,254,64,score,0.158,0.024552048147287873,0.16849487617503042,0.32439359437358434
credit,400,attr_val,260,65,score,0.0079,0.03219516535984658,0.18323126334130463,0.345785649064259
credit,400,attr_val,260,65,score,0.019,0.03219516535984658,0.18323126334130463,0.345785649064259
credit,400,attr_val,260,65,score,0.19,0.03219516535984658,0.18323126334130463,0.345785649064259
credit,400,attr_val,260,65,score,0.159,0.03219516535984658,0.18323126334130463,0.345785649064259
credit,400,attr_val,249,62,score,0.00710,0.005367976437043695,0.07716564842912009,0.1382168193319875
credit,400,attr_val,249,62,score,0.0110,0.005367976437043695,0.07716564842912009,0.1382168193319875
credit,400,attr_val,249,62,score,0.110,0.005367976437043695,0.07716564842912009,0.1382168193319875
credit,400,attr_val,249,62,score,0.1510,0.005367976437043695,0.07716564842912009,0.1382168193319875
credit,400,attr_val,255,64,score,0.00711,0.01226007437029264,0.09997780912454389,0.13899848509295032
credit,400,attr_val,255,64,score,0.0111,0.01226007437029264,0.09997780912454389,0.13899848509295032
credit,400,attr_val,255,64,score,0.111,0.01226007437029264,0.09997780912454389,0.13899848509295032
credit,400,attr_val,255,64,score,0.1511,0.01226007437029264,0.09997780912454389,0.13899848509295032
credit,400,attr_val,239,60,score,0.00712,0.04589386224267658,0.2059999940698343,0.3431303390913287
credit,400,attr_val,239,60,score,0.0112,0.04589386224267658,0.2059999940698343,0.3431303390913287
credit,400,attr_val,239,60,score,0.112,0.04589386224267658,0.2059999940698343,0.3431303390913287
credit,400,attr_val,239,60,score,0.1512,0.04589386224267658,0.2059999940698343,0.3431303390913287
