Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,24,48,score,DPC0,0.08874045197564656,0.29377457804041945,0.4045364840262266
credit,50,attr_val,26,52,score,DPC0,0.005463755922066805,0.08293502537560134,0.14699367444298733
german,50,attr_val,24,48,score,DTC0,0.08874045197564656,0.29580438590423863,0.4045364840262266
credit,50,attr_val,26,52,score,DTC0,0.005463755922066805,0.08293502537560134,0.14699367444298733
german,50,attr_val,24,48,score,DIC0,0.17010731140272112,0.4173686486993537,0.5375829887536467
credit,50,attr_val,26,52,score,DIC0,0.005463755922066805,0.08293502537560134,0.14699367444298733
german,50,attr_val,21,42,score,DPC1,0.025055750342615396,0.12134344437434552,0.19060429992333058
credit,50,attr_val,33,66,score,DPC1,0.008090101062270778,0.11934327783493498,0.13082178433274189
german,50,attr_val,21,42,score,DTC1,0.025055750342615396,0.1240877850266873,0.19060429992333058
credit,50,attr_val,33,66,score,DTC1,0.009011540903818636,0.11934327783493498,0.13082178433274189
german,50,attr_val,21,42,score,DIC1,0.08763857350214738,0.2123678669803447,0.23722202454616328
credit,50,attr_val,33,66,score,DIC1,0.007333204813228437,0.11934327783493498,0.13082178433274189
german,50,attr_val,18,36,score,DPC2,0.013788675349430799,0.1047667642650452,0.18659878134348612
credit,50,attr_val,35,70,score,DPC2,0.00035554928680137614,0.012992080760598967,0.0
german,50,attr_val,18,36,score,DTC2,0.013721869465989108,0.10411755427445109,0.18659878134348612
credit,50,attr_val,35,70,score,DTC2,0.0004481389431602602,0.012992080760598967,0.0
german,50,attr_val,18,36,score,DIC2,0.038821981466974444,0.1717272590984957,0.2929864611835973
credit,50,attr_val,35,70,score,DIC2,0.00033964800072023877,0.012992080760598967,0.0
german,50,attr_val,17,34,score,DPC3,0.00651842366127105,0.06787025395378227,0.12673231036415866
credit,50,attr_val,26,52,score,DPC3,0.05558055412582143,0.26021474515341225,0.3969807466141331
german,50,attr_val,17,34,score,DTC3,0.00651842366127105,0.06733787305095607,0.12673231036415866
credit,50,attr_val,26,52,score,DTC3,0.05558055412582143,0.26021474515341225,0.3969807466141331
german,50,attr_val,17,34,score,DIC3,0.048996615692722484,0.1566588352841247,0.22579895954549536
credit,50,attr_val,26,52,score,DIC3,0.05415068413007056,0.24709579059700315,0.3749194965616586
german,50,attr_val,27,54,score,DPC4,0.02967130221929443,0.16939613394475464,0.1698495612687212
credit,50,attr_val,33,66,score,DPC4,0.009681643885498609,0.09847530243897482,0.12391264629189185
german,50,attr_val,27,54,score,DTC4,0.02967130221929443,0.16939613394475464,0.1698495612687212
credit,50,attr_val,33,66,score,DTC4,0.008422616671375506,0.09847530243897482,0.12391264629189185
german,50,attr_val,27,54,score,DIC4,0.03439025352382584,0.1922737267418912,0.2979349090661347
credit,50,attr_val,33,66,score,DIC4,0.0076595974991594765,0.10100781351623621,0.11194078511798344
german,50,attr_val,17,34,score,DPC5,0.0039760112642425825,0.04880361175872612,0.08054104390269429
credit,50,attr_val,31,62,score,DPC5,0.027085285891020473,0.18473411831788136,0.0
german,50,attr_val,17,34,score,DTC5,0.0039760112642425825,0.04918945867832854,0.08054104390269429
credit,50,attr_val,31,62,score,DTC5,0.03086287432335538,0.18473411831788136,0.0
german,50,attr_val,17,34,score,DIC5,0.025345967740886922,0.13376790599720131,0.05864740998662237
credit,50,attr_val,31,62,score,DIC5,0.025716474935967296,0.1970834507143389,0.0
german,50,attr_val,22,44,score,DPC6,0.002927594350908586,0.050534962153214576,0.07675825611838263
credit,50,attr_val,33,66,score,DPC6,0.02865239017503603,0.16119078731947867,0.22225723637839565
german,50,attr_val,22,44,score,DTC6,0.002927594350908586,0.04957113190953517,0.07675825611838263
credit,50,attr_val,33,66,score,DTC6,0.024023853671716344,0.16119078731947867,0.22225723637839565
german,50,attr_val,22,44,score,DIC6,0.007816174003685679,0.09006731272477539,0.055787830763652534
credit,50,attr_val,33,66,score,DIC6,0.024772659891910773,0.16119078731947867,0.22225723637839565
german,50,attr_val,21,42,score,DPC7,0.08833719310711413,0.2101496905438036,0.25986909816766723
credit,50,attr_val,37,74,score,DPC7,0.00543705922493886,0.08479496093381929,0.0755521839918666
german,50,attr_val,21,42,score,DTC7,0.08833719310711413,0.2124410418321298,0.25986909816766723
credit,50,attr_val,37,74,score,DTC7,0.0044106388738864724,0.08479496093381929,0.0755521839918666
german,50,attr_val,21,42,score,DIC7,0.0884650288171574,0.21807936095386016,0.320052165320412
credit,50,attr_val,37,74,score,DIC7,0.006415805681812444,0.08746280398705418,0.09727960609942965
german,50,attr_val,22,44,score,DPC8,0.003527013572800317,0.06012909347241109,0.055787830763652534
credit,50,attr_val,39,78,score,DPC8,0.006665720583790022,0.08813968007831,0.07067172662633872
german,50,attr_val,22,44,score,DTC8,0.003527013572800317,0.05794407093934457,0.055787830763652534
credit,50,attr_val,39,78,score,DTC8,0.006623794270056214,0.08813968007831,0.07067172662633872
german,50,attr_val,22,44,score,DIC8,0.002927594350908586,0.05111361964059446,0.07675825611838263
credit,50,attr_val,39,78,score,DIC8,0.005001955687834227,0.08813968007831,0.07067172662633872
german,50,attr_val,16,32,score,DPC9,0.016655889809991515,0.10127479621243438,0.024337500696885832
credit,50,attr_val,33,66,score,DPC9,0.016340823111401673,0.15295297214091783,0.30221397195029726
german,50,attr_val,16,32,score,DTC9,0.016655889809991515,0.10045719138928001,0.024337500696885832
credit,50,attr_val,33,66,score,DTC9,0.013351818782327546,0.15295297214091783,0.30221397195029726
german,50,attr_val,16,32,score,DIC9,0.07241369813748562,0.1811986119218389,0.021577269377416768
credit,50,attr_val,33,66,score,DIC9,0.016522708856301895,0.15295297214091783,0.30221397195029726
german,50,attr_val,22,44,score,DPC10,0.03590553063594986,0.17031048450002187,0.21130252654155374
credit,50,attr_val,29,58,score,DPC10,0.0254000319551172,0.15344541436031278,0.23302938407902038
german,50,attr_val,22,44,score,DTC10,0.03590553063594986,0.173337773803093,0.21130252654155374
credit,50,attr_val,29,58,score,DTC10,0.025473786473611214,0.15344541436031278,0.23302938407902038
german,50,attr_val,22,44,score,DIC10,0.03389477482033948,0.14778711869212263,0.20631919238591306
credit,50,attr_val,29,58,score,DIC10,0.0168351541731766,0.1037803820438089,0.14893041044466063
german,50,attr_val,24,48,score,DPC11,0.07373031227880783,0.22180516324706326,0.0
credit,50,attr_val,31,62,score,DPC11,0.055632506881369205,0.22007069586885422,0.32590059032679886
german,50,attr_val,24,48,score,DTC11,0.07373031227880783,0.21658290153239784,0.0
credit,50,attr_val,31,62,score,DTC11,0.05392573552032635,0.22007069586885422,0.32590059032679886
german,50,attr_val,24,48,score,DIC11,0.003307646081261191,0.06044195151288748,0.05026047405649057
credit,50,attr_val,31,62,score,DIC11,0.06377405164935569,0.22007069586885422,0.32590059032679886
german,50,attr_val,23,46,score,DPC12,0.007222112786402592,0.10052224392646922,0.03193497754390352
credit,50,attr_val,30,60,score,DPC12,0.0012532113236931456,0.02978729110573889,0.06191477535719564
german,50,attr_val,23,46,score,DTC12,0.007222112786402592,0.09874788445010202,0.03193497754390352
credit,50,attr_val,30,60,score,DTC12,0.0012775024045565925,0.02978729110573889,0.06191477535719564
german,50,attr_val,23,46,score,DIC12,0.004327870995143917,0.06754322052231304,0.02117428759363255
credit,50,attr_val,30,60,score,DIC12,0.001337932249568483,0.02978729110573889,0.03626827374805547
german,50,attr_val,23,46,score,DPC13,0.04124944162819418,0.15439191460841784,0.23358992769517134
credit,50,attr_val,28,56,score,DPC13,0.11812910910943744,0.36545550340764327,0.526944469640719
german,50,attr_val,23,46,score,DTC13,0.04124944162819418,0.16025875454622998,0.23358992769517134
credit,50,attr_val,28,56,score,DTC13,0.11812910910943744,0.36545550340764327,0.526944469640719
german,50,attr_val,23,46,score,DIC13,0.05152562403577228,0.21045995635354867,0.18571629155653557
credit,50,attr_val,28,56,score,DIC13,0.11117591092978944,0.36545550340764327,0.526944469640719
german,50,attr_val,22,44,score,DPC14,0.04819542218923342,0.21500408996125087,0.32628138666865675
credit,50,attr_val,33,66,score,DPC14,0.1042137753344946,0.38681086354585403,0.5443140162789649
german,50,attr_val,22,44,score,DTC14,0.04819542218923342,0.21031039122934864,0.32628138666865675
credit,50,attr_val,33,66,score,DTC14,0.1386262045401147,0.38681086354585403,0.5443140162789649
german,50,attr_val,22,44,score,DIC14,0.04819542218923342,0.2206235507228291,0.32628138666865675
credit,50,attr_val,33,66,score,DIC14,0.11878349511249386,0.38681086354585403,0.5443140162789649
german,50,attr_val,23,46,score,DPC15,0.005579216414204964,0.08497620881197554,0.03193497754390352
credit,50,attr_val,30,60,score,DPC15,0.010523362646882849,0.10535333274078654,0.17131022175149302
german,50,attr_val,23,46,score,DTC15,0.005579216414204964,0.08229424361465557,0.03193497754390352
credit,50,attr_val,30,60,score,DTC15,0.012342878743641447,0.10535333274078654,0.17131022175149302
german,50,attr_val,23,46,score,DIC15,0.010220686120372231,0.10800639248765961,0.0
credit,50,attr_val,30,60,score,DIC15,0.012671464981805002,0.093154871881134,0.17131022175149302
german,50,attr_val,21,42,score,DPC16,0.020472853168486606,0.11451703055796097,0.18387031147817684
credit,50,attr_val,31,62,score,DPC16,0.11380458447847033,0.3075422178317915,0.43094634139461
german,50,attr_val,21,42,score,DTC16,0.020472853168486606,0.1130744255174488,0.18387031147817684
credit,50,attr_val,31,62,score,DTC16,0.13280902217407647,0.3075422178317915,0.43094634139461
german,50,attr_val,21,42,score,DIC16,0.007847115287025693,0.0819786027645893,0.14056711576233422
credit,50,attr_val,31,62,score,DIC16,0.13151901741735286,0.31989155022824906,0.45498588326693823
german,50,attr_val,16,32,score,DPC17,0.02676521569928736,0.12675913156126858,0.03090045999519713
credit,50,attr_val,37,74,score,DPC17,0.009344501788361959,0.12326230458186535,0.15955182530685133
german,50,attr_val,16,32,score,DTC17,0.02676521569928736,0.12675913156126858,0.03090045999519713
credit,50,attr_val,37,74,score,DTC17,0.010471876584541462,0.12326230458186535,0.15955182530685133
german,50,attr_val,16,32,score,DIC17,0.01856314215342393,0.11020579523346931,0.15961707842679343
credit,50,attr_val,37,74,score,DIC17,0.008079062002567933,0.12326230458186535,0.15955182530685133
german,50,attr_val,25,50,score,DPC18,0.07377191331319463,0.26945964024031555,0.38328244134657985
credit,50,attr_val,33,66,score,DPC18,0.04161868577460073,0.2075706212297244,0.38012606754252803
german,50,attr_val,25,50,score,DTC18,0.07377191331319463,0.26945964024031555,0.38328244134657985
credit,50,attr_val,33,66,score,DTC18,0.030195452362210513,0.2075706212297244,0.38012606754252803
german,50,attr_val,25,50,score,DIC18,0.06433341488807678,0.24430306541351793,0.27438074939802065
credit,50,attr_val,33,66,score,DIC18,0.03393328331684642,0.2075706212297244,0.38012606754252803
german,50,attr_val,24,48,score,DPC19,0.049956576271485885,0.17560897978503107,0.20788850991327548
credit,50,attr_val,38,76,score,DPC19,0.06504232073285993,0.330811304106121,0.5685602874526642
german,50,attr_val,24,48,score,DTC19,0.049956576271485885,0.17765093330281692,0.20788850991327548
credit,50,attr_val,38,76,score,DTC19,0.06690789796869347,0.330811304106121,0.5685602874526642
german,50,attr_val,24,48,score,DIC19,0.010353021255620487,0.0937516302376868,0.11013191381317972
credit,50,attr_val,38,76,score,DIC19,0.05486395326609285,0.3335152707074831,0.5528210339237775
german,50,attr_val,23,46,score,DPC20,0.008884341257634319,0.09873906914313393,0.0928861458832561
credit,50,attr_val,30,60,score,DPC20,0.004245740157127356,0.054155193784506055,0.10753247100776889
german,50,attr_val,23,46,score,DTC20,0.008884341257634319,0.0973267518388494,0.0928861458832561
credit,50,attr_val,30,60,score,DTC20,0.0036373327113707007,0.054155193784506055,0.10753247100776889
german,50,attr_val,23,46,score,DIC20,0.01933257464061638,0.1452130379540538,0.2383949904343237
credit,50,attr_val,30,60,score,DIC20,0.004245740157127356,0.054155193784506055,0.10753247100776889
german,50,attr_val,18,36,score,DPC21,0.0757862084492267,0.23195426845143027,0.36807158680612934
credit,50,attr_val,34,68,score,DPC21,0.013396731872830867,0.14210344130613003,0.2962885282307485
german,50,attr_val,18,36,score,DTC21,0.0757862084492267,0.22471141926888058,0.36807158680612934
credit,50,attr_val,34,68,score,DTC21,0.01430379699539253,0.14210344130613003,0.2962885282307485
german,50,attr_val,18,36,score,DIC21,0.007592974261419768,0.0646862811004398,0.09553249702032339
credit,50,attr_val,34,68,score,DIC21,0.011222287264001487,0.14210344130613003,0.2962885282307485
german,50,attr_val,17,34,score,DPC22,0.36731172562012354,0.47679414077300836,0.6458635398690876
credit,50,attr_val,31,62,score,DPC22,0.0182540976064761,0.13636973834978627,0.24563773320457274
german,50,attr_val,17,34,score,DTC22,0.36731172562012354,0.4654853742367579,0.6458635398690876
credit,50,attr_val,31,62,score,DTC22,0.015672188868542217,0.13636973834978627,0.24563773320457274
german,50,attr_val,17,34,score,DIC22,0.27138480766733913,0.40393309153710966,0.5609140247134329
credit,50,attr_val,31,62,score,DIC22,0.015316608590876541,0.14377933778766078,0.26714679698507693
german,50,attr_val,23,46,score,DPC23,0.04018208014595572,0.18880531661474093,0.036238367811364
credit,50,attr_val,29,58,score,DPC23,0.04662064535804214,0.24085736887500367,0.4032292412439384
german,50,attr_val,23,46,score,DTC23,0.04018208014595572,0.1882122554373956,0.036238367811364
credit,50,attr_val,29,58,score,DTC23,0.04662064535804214,0.24085736887500367,0.4032292412439384
