Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,1.2,0.007748499221812137,0.05407064634812617,0.07597670565181167
credit,4804,attr_val,3064,64,score,1.2,0.0122442175166994,0.0785248913264655,0.0731540887420581
german,190,attr_val,78,41,score,1.3,0.023913877221535082,0.13822247287030678,0.2343779579373324
credit,4804,attr_val,3064,64,score,1.3,0.01229746001541529,0.07800273606499064,0.06907854087120387
german,190,attr_val,78,41,score,1.4,0.026191227832966457,0.1434995659609621,0.2409171791484334
credit,4804,attr_val,3064,64,score,1.4,0.01515515335458226,0.10154736489228999,0.024276094870088475
german,190,attr_val,78,41,score,1.5,0.024937316127818545,0.1460026906998836,0.2474845534303655
credit,4804,attr_val,3064,64,score,1.5,0.18320277211795824,0.22708636956000697,0.09978778539151836
german,190,attr_val,78,41,score,1.6,0.034728359341949205,0.16817150448354873,0.277376688230863
credit,4804,attr_val,3064,64,score,1.6,0.3941039992962115,0.36342568999342145,0.22607408359730322
german,190,attr_val,78,41,score,1.7,0.03304847613854327,0.16361636335614962,0.27676707267711714
credit,4804,attr_val,3064,64,score,1.7,0.4039451424417062,0.37570571341589054,0.22607408359730322
german,190,attr_val,78,41,score,1.8,0.03199086588644033,0.16205627595426791,0.274437574490428
credit,4804,attr_val,3064,64,score,1.8,0.4630967939217895,0.38844333313388346,0.27879377578482634
german,190,attr_val,78,41,score,2.2,0.007656624248067181,0.055133901458043214,0.07597670565181167
credit,4804,attr_val,3064,64,score,2.2,0.0122442175166994,0.0785248913264655,0.0731540887420581
german,190,attr_val,78,41,score,2.3,0.023745539271292415,0.1364491181347056,0.2343779579373324
credit,4804,attr_val,3064,64,score,2.3,0.012272429117115171,0.07690558125908005,0.06418521389554623
german,190,attr_val,78,41,score,2.4,0.026672872788037632,0.14414465347742664,0.2432150771816467
credit,4804,attr_val,3064,64,score,2.4,0.019078432725240353,0.11579591773890269,0.024276094870088475
german,190,attr_val,78,41,score,2.5,0.028518536383666804,0.1549439921100245,0.26357198579830005
credit,4804,attr_val,3064,64,score,2.5,0.19523904244059212,0.24353116368948816,0.09978778539151836
german,190,attr_val,78,41,score,2.6,0.036179985942573566,0.1778689585391699,0.291012198228128
credit,4804,attr_val,3064,64,score,2.6,0.39429757142811417,0.36407161020386886,0.22607408359730322
german,190,attr_val,78,41,score,2.7,0.032869075308861115,0.16453434622680743,0.27676707267711714
credit,4804,attr_val,3064,64,score,2.7,0.40504887554631247,0.37690300864382337,0.22607408359730322
german,190,attr_val,78,41,score,2.8,0.05898395430168181,0.20779092304784186,0.33311604909272563
credit,4804,attr_val,3064,64,score,2.8,0.4679803342319906,0.3919219173959522,0.27879377578482634
german,190,attr_val,78,41,score,3.2,0.007781173747798787,0.056563690917120865,0.09746406652020269
credit,4804,attr_val,3064,64,score,3.2,0.012223448004185284,0.07771642905399662,0.07119514052036875
german,190,attr_val,78,41,score,3.3,0.023712783688142666,0.13786805035103034,0.2343779579373324
credit,4804,attr_val,3064,64,score,3.3,0.012431406691128686,0.0785137162175612,0.05003541557374266
german,190,attr_val,78,41,score,3.4,0.028303211811085874,0.1501340084456165,0.25283989671857954
