Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,400,attr_val,260,65,score,0.0070,0.014018708329578217,0.10213854099044088,0.051384721257253595
credit,400,attr_val,260,65,score,0.010,0.014018708329578217,0.10213854099044088,0.051384721257253595
credit,400,attr_val,260,65,score,0.10,0.014018708329578217,0.10213854099044088,0.051384721257253595
credit,400,attr_val,260,65,score,0.150,0.014018708329578217,0.10213854099044088,0.051384721257253595
credit,400,attr_val,283,71,score,0.0071,0.010719886592276486,0.07179185039415038,0.0937579828387912
credit,400,attr_val,283,71,score,0.011,0.010719886592276486,0.07179185039415038,0.0937579828387912
credit,400,attr_val,283,71,score,0.11,0.010719886592276486,0.07179185039415038,0.0937579828387912
credit,400,attr_val,283,71,score,0.151,0.010719886592276486,0.07179185039415038,0.0937579828387912
credit,400,attr_val,254,64,score,0.0072,0.04431512665391296,0.13897896569439086,0.1808224519049713
credit,400,attr_val,254,64,score,0.012,0.04431512665391296,0.13897896569439086,0.1808224519049713
credit,400,attr_val,254,64,score,0.12,0.04431512665391296,0.13897896569439086,0.1808224519049713
credit,400,attr_val,254,64,score,0.152,0.04431512665391296,0.13897896569439086,0.1808224519049713
credit,400,attr_val,251,63,score,0.0073,0.020044118338656953,0.11490099276291718,0.014769721185752831
credit,400,attr_val,251,63,score,0.013,0.020044118338656953,0.11490099276291718,0.014769721185752831
credit,400,attr_val,251,63,score,0.13,0.020044118338656953,0.11490099276291718,0.014769721185752831
credit,400,attr_val,251,63,score,0.153,0.020044118338656953,0.11490099276291718,0.014769721185752831
credit,400,attr_val,253,63,score,0.0074,0.006968271535858975,0.08403485735393233,0.012105488738667793
credit,400,attr_val,253,63,score,0.014,0.006968271535858975,0.08403485735393233,0.012105488738667793
credit,400,attr_val,253,63,score,0.14,0.006968271535858975,0.08403485735393233,0.012105488738667793
credit,400,attr_val,253,63,score,0.154,0.006968271535858975,0.08403485735393233,0.012105488738667793
credit,400,attr_val,264,66,score,0.0075,0.010965129067430803,0.08846668456629414,0.047753436856784424
credit,400,attr_val,264,66,score,0.015,0.010965129067430803,0.08846668456629414,0.047753436856784424
credit,400,attr_val,264,66,score,0.15,0.010965129067430803,0.08846668456629414,0.047753436856784424
credit,400,attr_val,264,66,score,0.155,0.010965129067430803,0.08846668456629414,0.047753436856784424
credit,400,attr_val,261,65,score,0.0076,0.0023550775387330626,0.045965682331964165,0.05006475734202277
credit,400,attr_val,261,65,score,0.016,0.0023550775387330626,0.045965682331964165,0.05006475734202277
credit,400,attr_val,261,65,score,0.16,0.0023550775387330626,0.045965682331964165,0.05006475734202277
credit,400,attr_val,261,65,score,0.156,0.0023550775387330626,0.045965682331964165,0.05006475734202277
credit,400,attr_val,254,64,score,0.0077,0.0424373432038428,0.14428067574387737,0.02794104270454543
credit,400,attr_val,254,64,score,0.017,0.0424373432038428,0.14428067574387737,0.02794104270454543
credit,400,attr_val,254,64,score,0.17,0.0424373432038428,0.14428067574387737,0.02794104270454543
credit,400,attr_val,254,64,score,0.157,0.0424373432038428,0.14428067574387737,0.02794104270454543
credit,400,attr_val,251,63,score,0.0078,0.012597317863240294,0.08575830324588936,0.033972042633397564
credit,400,attr_val,251,63,score,0.018,0.012597317863240294,0.08575830324588936,0.033972042633397564
credit,400,attr_val,251,63,score,0.18,0.012597317863240294,0.08575830324588936,0.033972042633397564
credit,400,attr_val,251,63,score,0.158,0.012597317863240294,0.08575830324588936,0.033972042633397564
credit,400,attr_val,256,64,score,0.0079,0.011132886539440919,0.09160927034821018,0.016726353321679956
credit,400,attr_val,256,64,score,0.019,0.011132886539440919,0.09160927034821018,0.016726353321679956
credit,400,attr_val,256,64,score,0.19,0.011132886539440919,0.09160927034821018,0.016726353321679956
credit,400,attr_val,256,64,score,0.159,0.011132886539440919,0.09160927034821018,0.016726353321679956
credit,400,attr_val,258,64,score,0.00710,0.020564532116253195,0.12332474886572395,0.06064731413602933
credit,400,attr_val,258,64,score,0.0110,0.020564532116253195,0.12332474886572395,0.06064731413602933
credit,400,attr_val,258,64,score,0.110,0.020564532116253195,0.12332474886572395,0.06064731413602933
credit,400,attr_val,258,64,score,0.1510,0.020564532116253195,0.12332474886572395,0.06064731413602933
credit,400,attr_val,247,62,score,0.00711,0.019590696564908482,0.11485473794868518,0.12517822397676376
