Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,16,32,score,DPC0,0.006376201576645614,0.06666527141250762,0.055237960692082956
credit,50,attr_val,37,74,score,DPC0,0.00631080473773094,0.12274282389311798,0.2949159741151022
german,50,attr_val,16,32,score,DTC0,0.006376201576645614,0.06505067875523597,0.055237960692082956
credit,50,attr_val,37,74,score,DTC0,0.0074812268751143175,0.12274282389311798,0.2949159741151022
german,50,attr_val,16,32,score,DIC0,0.006376201576645614,0.06452972177743696,0.055237960692082956
credit,50,attr_val,37,74,score,DIC0,0.007762365774220847,0.12274282389311798,0.2949159741151022
german,50,attr_val,19,38,score,DPC1,0.07683557264193647,0.23668227304170408,0.3388886371070288
credit,50,attr_val,42,84,score,DPC1,0.011989974128303271,0.20220919285661432,0.49502176976869977
german,50,attr_val,19,38,score,DTC1,0.07683557264193647,0.23668227304170408,0.3388886371070288
credit,50,attr_val,42,84,score,DTC1,0.013439916180833043,0.20220919285661432,0.49502176976869977
german,50,attr_val,19,38,score,DIC1,0.07683557264193647,0.2392732125958976,0.3388886371070288
credit,50,attr_val,42,84,score,DIC1,0.01239147486506044,0.20220919285661432,0.49502176976869977
german,50,attr_val,20,40,score,DPC2,0.005150600040252245,0.0365500774695944,0.06215251545380795
credit,50,attr_val,32,64,score,DPC2,0.03517132495503284,0.16748901954610929,0.0
german,50,attr_val,20,40,score,DTC2,0.005150600040252245,0.0357672509246389,0.06215251545380795
credit,50,attr_val,32,64,score,DTC2,0.03413979049397325,0.16748901954610929,0.0
german,50,attr_val,20,40,score,DIC2,0.005150600040252245,0.0365500774695944,0.06215251545380795
credit,50,attr_val,32,64,score,DIC2,0.030088467682252366,0.16748901954610929,0.0
german,50,attr_val,19,38,score,DPC3,0.031784956990588815,0.1498759643542155,0.0048107459579722804
credit,50,attr_val,33,66,score,DPC3,0.01636744627648912,0.15295297214091783,0.30221397195029726
german,50,attr_val,19,38,score,DTC3,0.031784956990588815,0.15105308662227393,0.0048107459579722804
credit,50,attr_val,33,66,score,DTC3,0.01876083492730271,0.15295297214091783,0.30221397195029726
german,50,attr_val,19,38,score,DIC3,0.031784956990588815,0.14826556263298313,0.0048107459579722804
credit,50,attr_val,33,66,score,DIC3,0.019518080290627696,0.15295297214091783,0.30221397195029726
german,50,attr_val,17,34,score,DPC4,0.05854160737969144,0.18838642858784893,0.0071666867955694595
credit,50,attr_val,29,58,score,DPC4,0.012443007786586824,0.12602780908032102,0.21075305498611716
german,50,attr_val,17,34,score,DTC4,0.05854160737969144,0.18395326393518238,0.0071666867955694595
credit,50,attr_val,29,58,score,DTC4,0.011171771102263932,0.12602780908032102,0.21075305498611716
german,50,attr_val,17,34,score,DIC4,0.05854160737969144,0.18688515475980166,0.0071666867955694595
credit,50,attr_val,29,58,score,DIC4,0.011909835226461747,0.12602780908032102,0.21075305498611716
german,50,attr_val,16,32,score,DPC5,0.020697320297933603,0.12662906789367442,0.0
credit,50,attr_val,35,70,score,DPC5,0.012884681232443814,0.13090975255507767,0.0
german,50,attr_val,16,32,score,DTC5,0.020697320297933603,0.12460085549762513,0.0
credit,50,attr_val,35,70,score,DTC5,0.012501392000046024,0.13090975255507767,0.0
german,50,attr_val,16,32,score,DIC5,0.020697320297933603,0.12460085549762513,0.0
credit,50,attr_val,35,70,score,DIC5,0.015118903053793218,0.13090975255507767,0.0
german,50,attr_val,18,36,score,DPC6,0.058314822644011916,0.17465468566023598,0.19530036094434516
credit,50,attr_val,26,52,score,DPC6,0.053964427897880654,0.2734359487585897,0.0
german,50,attr_val,18,36,score,DTC6,0.058314822644011916,0.17465468566023598,0.19530036094434516
credit,50,attr_val,26,52,score,DTC6,0.053964427897880654,0.2734359487585897,0.0
german,50,attr_val,18,36,score,DIC6,0.058314822644011916,0.17603972244018062,0.19530036094434516
credit,50,attr_val,26,52,score,DIC6,0.053964427897880654,0.2734359487585897,0.0
german,50,attr_val,18,36,score,DPC7,0.007422706525062879,0.07899858588935182,0.0
credit,50,attr_val,34,68,score,DPC7,0.025329195631772296,0.2052005745175598,0.22090769003365696
german,50,attr_val,18,36,score,DTC7,0.007422706525062879,0.08024166836532595,0.0
credit,50,attr_val,34,68,score,DTC7,0.028714674489676077,0.2052005745175598,0.22090769003365696
german,50,attr_val,18,36,score,DIC7,0.007422706525062879,0.08087799633757571,0.0
credit,50,attr_val,34,68,score,DIC7,0.03435888436094229,0.2052005745175598,0.22090769003365696
german,50,attr_val,20,40,score,DPC8,0.052578069981545086,0.20001851832282372,0.32951276984170474
credit,50,attr_val,27,54,score,DPC8,0.05217963988091572,0.24817134346863548,0.0
german,50,attr_val,20,40,score,DTC8,0.052578069981545086,0.20337090171243075,0.32951276984170474
credit,50,attr_val,27,54,score,DTC8,0.05217963988091572,0.24817134346863548,0.0
german,50,attr_val,20,40,score,DIC8,0.052578069981545086,0.20121608693460272,0.32951276984170474
credit,50,attr_val,27,54,score,DIC8,0.05217963988091572,0.24817134346863548,0.0
german,50,attr_val,19,38,score,DPC9,0.013845999875581938,0.10060926915147766,0.14028638862583362
credit,50,attr_val,31,62,score,DPC9,0.044155817764909476,0.26275564339639185,0.45401991682225545
german,50,attr_val,19,38,score,DTC9,0.013845999875581938,0.10060926915147765,0.14028638862583362
credit,50,attr_val,31,62,score,DTC9,0.04997106676834871,0.26275564339639185,0.45401991682225545
german,50,attr_val,19,38,score,DIC9,0.013845999875581938,0.1044648442461027,0.14028638862583362
credit,50,attr_val,31,62,score,DIC9,0.04453323843996162,0.26275564339639185,0.45401991682225545
german,50,attr_val,17,34,score,DPC10,0.01192761088069668,0.10238513141034142,0.05864740998662237
credit,50,attr_val,34,68,score,DPC10,0.00725702615638432,0.10511839883839191,0.22471660368025462
