Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,1.2,0.05421665164315972,0.22429238497504542,0.0
credit,4870,attr_val,3112,64,score,1.2,0.012754328096618434,0.11202047229261823,0.22323699838523028
german,190,attr_val,78,41,score,1.3,0.05342305398556656,0.22279799200660597,0.0
credit,4870,attr_val,3112,64,score,1.3,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,1.4,0.05342305398556656,0.22010401095657664,0.0
credit,4870,attr_val,3112,64,score,1.4,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,1.5,0.052200331990767214,0.22319819484753176,0.0
credit,4870,attr_val,3112,64,score,1.5,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,1.6,0.05342305398556656,0.218615878000242,0.0
credit,4870,attr_val,3112,64,score,1.6,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,1.7,0.05314946045662723,0.2201510209075023,0.0
credit,4870,attr_val,3112,64,score,1.7,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,1.8,0.05301652960187458,0.21962885554869116,0.0
credit,4870,attr_val,3112,64,score,1.8,0.012658302798770045,0.11106231563131705,0.22123437182030575
german,190,attr_val,78,41,score,2.2,0.052706710758318814,0.21704889603364275,0.0
credit,4870,attr_val,3112,64,score,2.2,0.012709867267719048,0.11166709141964952,0.22254243962682937
german,190,attr_val,78,41,score,2.3,0.05179012211446091,0.2207802258184671,0.0
credit,4870,attr_val,3112,64,score,2.3,0.012661507434674726,0.1110805285722741,0.22126727370861848
german,190,attr_val,78,41,score,2.4,0.051921012507483405,0.21983601377458092,0.0
credit,4870,attr_val,3112,64,score,2.4,0.012661507434674726,0.1110805285722741,0.22126727370861848
german,190,attr_val,78,41,score,2.5,0.05349556037782948,0.22453049136079048,0.0
credit,4870,attr_val,3112,64,score,2.5,0.012661507434674726,0.1110805285722741,0.22126727370861848
german,190,attr_val,78,41,score,2.6,0.05349556037782948,0.2240422245800075,0.0
credit,4870,attr_val,3112,64,score,2.6,0.012661507434674726,0.1110805285722741,0.22126727370861848
