Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,400,attr_val,259,65,score,0.0070,0.017163721480870444,0.12701331998171683,0.20545910784723617
credit,400,attr_val,259,65,score,0.010,0.017163721480870444,0.12701331998171683,0.20545910784723617
credit,400,attr_val,259,65,score,0.10,0.017163721480870444,0.12701331998171683,0.20545910784723617
credit,400,attr_val,259,65,score,0.150,0.017163721480870444,0.12701331998171683,0.20545910784723617
credit,400,attr_val,259,65,score,0.0071,0.014222222391119905,0.11227643127335626,0.20402267922774975
credit,400,attr_val,259,65,score,0.011,0.014222222391119905,0.11227643127335626,0.20402267922774975
credit,400,attr_val,259,65,score,0.11,0.014222222391119905,0.11227643127335626,0.20402267922774975
credit,400,attr_val,259,65,score,0.151,0.014222222391119905,0.11227643127335626,0.20402267922774975
credit,400,attr_val,242,60,score,0.0072,0.0065550240354351474,0.07912970141362904,0.11511380533274264
credit,400,attr_val,242,60,score,0.012,0.0065550240354351474,0.07912970141362904,0.11511380533274264
credit,400,attr_val,242,60,score,0.12,0.0065550240354351474,0.07912970141362904,0.11511380533274264
credit,400,attr_val,242,60,score,0.152,0.0065550240354351474,0.07912970141362904,0.11511380533274264
credit,400,attr_val,245,61,score,0.0073,0.028499769082695872,0.16728820407124775,0.27827364522679476
credit,400,attr_val,245,61,score,0.013,0.028499769082695872,0.16728820407124775,0.27827364522679476
credit,400,attr_val,245,61,score,0.13,0.028499769082695872,0.16728820407124775,0.27827364522679476
credit,400,attr_val,245,61,score,0.153,0.028499769082695872,0.16728820407124775,0.27827364522679476
credit,400,attr_val,258,64,score,0.0074,0.005316919882300625,0.06890008148586359,0.11460948777295012
credit,400,attr_val,258,64,score,0.014,0.005316919882300625,0.06890008148586359,0.11460948777295012
credit,400,attr_val,258,64,score,0.14,0.005316919882300625,0.06890008148586359,0.11460948777295012
credit,400,attr_val,258,64,score,0.154,0.005316919882300625,0.06890008148586359,0.11460948777295012
credit,400,attr_val,265,66,score,0.0075,0.011874273979813377,0.09935162083717755,0.17545515507680493
credit,400,attr_val,265,66,score,0.015,0.011874273979813377,0.09935162083717755,0.17545515507680493
credit,400,attr_val,265,66,score,0.15,0.011874273979813377,0.09935162083717755,0.17545515507680493
credit,400,attr_val,265,66,score,0.155,0.011874273979813377,0.09935162083717755,0.17545515507680493
credit,400,attr_val,253,63,score,0.0076,0.021278485708436018,0.14242971639909666,0.2646052472811707
credit,400,attr_val,253,63,score,0.016,0.021278485708436018,0.14242971639909666,0.2646052472811707
credit,400,attr_val,253,63,score,0.16,0.021278485708436018,0.14242971639909666,0.2646052472811707
credit,400,attr_val,253,63,score,0.156,0.021278485708436018,0.14242971639909666,0.2646052472811707
credit,400,attr_val,270,68,score,0.0077,0.017718500929461718,0.11985880305971014,0.2294071019193775
credit,400,attr_val,270,68,score,0.017,0.017718500929461718,0.11985880305971014,0.2294071019193775
credit,400,attr_val,270,68,score,0.17,0.017718500929461718,0.11985880305971014,0.2294071019193775
credit,400,attr_val,270,68,score,0.157,0.017718500929461718,0.11985880305971014,0.2294071019193775
credit,400,attr_val,264,66,score,0.0078,0.01109835869818385,0.0896797092365806,0.15489379032108447
credit,400,attr_val,264,66,score,0.018,0.01109835869818385,0.0896797092365806,0.15489379032108447
credit,400,attr_val,264,66,score,0.18,0.01109835869818385,0.0896797092365806,0.15489379032108447
credit,400,attr_val,264,66,score,0.158,0.01109835869818385,0.0896797092365806,0.15489379032108447
credit,400,attr_val,248,62,score,0.0079,0.018637764286616,0.1153602773002574,0.18030022725373515
credit,400,attr_val,248,62,score,0.019,0.018637764286616,0.1153602773002574,0.18030022725373515
credit,400,attr_val,248,62,score,0.19,0.018637764286616,0.1153602773002574,0.18030022725373515
credit,400,attr_val,248,62,score,0.159,0.018637764286616,0.1153602773002574,0.18030022725373515
credit,400,attr_val,257,64,score,0.00710,0.004874682995926576,0.07041274095922159,0.08132365504221094
credit,400,attr_val,257,64,score,0.0110,0.004874682995926576,0.07041274095922159,0.08132365504221094
credit,400,attr_val,257,64,score,0.110,0.004874682995926576,0.07041274095922159,0.08132365504221094
credit,400,attr_val,257,64,score,0.1510,0.004874682995926576,0.07041274095922159,0.08132365504221094
credit,400,attr_val,265,66,score,0.00711,0.031388858475948425,0.1630026710199683,0.2822849614428053
credit,400,attr_val,265,66,score,0.0111,0.031388858475948425,0.1630026710199683,0.2822849614428053
credit,400,attr_val,265,66,score,0.111,0.031388858475948425,0.1630026710199683,0.2822849614428053
credit,400,attr_val,265,66,score,0.1511,0.031388858475948425,0.1630026710199683,0.2822849614428053
credit,400,attr_val,246,62,score,0.00712,0.040750218605267736,0.18527488900996492,0.3002629530690073
credit,400,attr_val,246,62,score,0.0112,0.040750218605267736,0.18527488900996492,0.3002629530690073
credit,400,attr_val,246,62,score,0.112,0.040750218605267736,0.18527488900996492,0.3002629530690073
credit,400,attr_val,246,62,score,0.1512,0.040750218605267736,0.18527488900996492,0.3002629530690073
credit,400,attr_val,257,64,score,0.00713,0.010906499104675537,0.09931885520590553,0.19453840815735565
credit,400,attr_val,257,64,score,0.0113,0.010906499104675537,0.09931885520590553,0.19453840815735565
credit,400,attr_val,257,64,score,0.113,0.010906499104675537,0.09931885520590553,0.19453840815735565
credit,400,attr_val,257,64,score,0.1513,0.010906499104675537,0.09931885520590553,0.19453840815735565
credit,400,attr_val,250,62,score,0.00714,0.023916817927820442,0.1429968406446748,0.24433906427294838
credit,400,attr_val,250,62,score,0.0114,0.023916817927820442,0.1429968406446748,0.24433906427294838
credit,400,attr_val,250,62,score,0.114,0.023916817927820442,0.1429968406446748,0.24433906427294838
credit,400,attr_val,250,62,score,0.1514,0.023916817927820442,0.1429968406446748,0.24433906427294838
credit,400,attr_val,259,65,score,0.00715,0.01732492784724871,0.11723912834161322,0.1595793904070478
credit,400,attr_val,259,65,score,0.0115,0.01732492784724871,0.11723912834161322,0.1595793904070478
credit,400,attr_val,259,65,score,0.115,0.01732492784724871,0.11723912834161322,0.1595793904070478
credit,400,attr_val,259,65,score,0.1515,0.01732492784724871,0.11723912834161322,0.1595793904070478
credit,400,attr_val,273,68,score,0.00716,0.04276321805754057,0.17931316318667714,0.31107366100219225
credit,400,attr_val,273,68,score,0.0116,0.04276321805754057,0.17931316318667714,0.31107366100219225
credit,400,attr_val,273,68,score,0.116,0.04276321805754057,0.17931316318667714,0.31107366100219225
credit,400,attr_val,273,68,score,0.1516,0.04276321805754057,0.17931316318667714,0.31107366100219225
credit,400,attr_val,259,65,score,0.00717,0.024189559105210694,0.1322475774411482,0.21139156935041611
credit,400,attr_val,259,65,score,0.0117,0.024189559105210694,0.1322475774411482,0.21139156935041611
credit,400,attr_val,259,65,score,0.117,0.024189559105210694,0.1322475774411482,0.21139156935041611
credit,400,attr_val,259,65,score,0.1517,0.024189559105210694,0.1322475774411482,0.21139156935041611
credit,400,attr_val,268,67,score,0.00718,0.004538869711549943,0.06736494264731442,0.12440153475210067
credit,400,attr_val,268,67,score,0.0118,0.004538869711549943,0.06736494264731442,0.12440153475210067
credit,400,attr_val,268,67,score,0.118,0.004538869711549943,0.06736494264731442,0.12440153475210067
credit,400,attr_val,268,67,score,0.1518,0.004538869711549943,0.06736494264731442,0.12440153475210067
credit,400,attr_val,246,62,score,0.00719,0.02348674038968439,0.1345676429088483,0.1825475269205367
credit,400,attr_val,246,62,score,0.0119,0.02348674038968439,0.1345676429088483,0.1825475269205367
credit,400,attr_val,246,62,score,0.119,0.02348674038968439,0.1345676429088483,0.1825475269205367
credit,400,attr_val,246,62,score,0.1519,0.02348674038968439,0.1345676429088483,0.1825475269205367
credit,400,attr_val,271,68,score,0.00720,0.010253336436168905,0.0934343891077347,0.17484702669987662
credit,400,attr_val,271,68,score,0.0120,0.010253336436168905,0.0934343891077347,0.17484702669987662
credit,400,attr_val,271,68,score,0.120,0.010253336436168905,0.0934343891077347,0.17484702669987662
credit,400,attr_val,271,68,score,0.1520,0.010253336436168905,0.0934343891077347,0.17484702669987662
credit,400,attr_val,258,64,score,0.00721,0.03332886345958379,0.16228666824934668,0.2859792604316479
credit,400,attr_val,258,64,score,0.0121,0.03332886345958379,0.16228666824934668,0.2859792604316479
credit,400,attr_val,258,64,score,0.121,0.03332886345958379,0.16228666824934668,0.2859792604316479
credit,400,attr_val,258,64,score,0.1521,0.03332886345958379,0.16228666824934668,0.2859792604316479
credit,400,attr_val,264,66,score,0.00722,0.012327827776881429,0.10281233551433076,0.16983595684257158
credit,400,attr_val,264,66,score,0.0122,0.012327827776881429,0.10281233551433076,0.16983595684257158
credit,400,attr_val,264,66,score,0.122,0.012327827776881429,0.10281233551433076,0.16983595684257158
credit,400,attr_val,264,66,score,0.1522,0.012327827776881429,0.10281233551433076,0.16983595684257158
credit,400,attr_val,248,62,score,0.00723,0.020516555655953683,0.12505722178419126,0.2143283483075287
credit,400,attr_val,248,62,score,0.0123,0.020516555655953683,0.12505722178419126,0.2143283483075287
credit,400,attr_val,248,62,score,0.123,0.020516555655953683,0.12505722178419126,0.2143283483075287
credit,400,attr_val,248,62,score,0.1523,0.020516555655953683,0.12505722178419126,0.2143283483075287
credit,400,attr_val,255,64,score,0.00724,0.008587318127293523,0.09123192499741975,0.1761419622406416
credit,400,attr_val,255,64,score,0.0124,0.008587318127293523,0.09123192499741975,0.1761419622406416
credit,400,attr_val,255,64,score,0.124,0.008587318127293523,0.09123192499741975,0.1761419622406416
credit,400,attr_val,255,64,score,0.1524,0.008587318127293523,0.09123192499741975,0.1761419622406416
credit,400,attr_val,254,64,score,0.00725,0.013316802224251849,0.11124084669445106,0.21326517998951006
credit,400,attr_val,254,64,score,0.0125,0.013316802224251849,0.11124084669445106,0.21326517998951006
credit,400,attr_val,254,64,score,0.125,0.013316802224251849,0.11124084669445106,0.21326517998951006
credit,400,attr_val,254,64,score,0.1525,0.013316802224251849,0.11124084669445106,0.21326517998951006
credit,400,attr_val,251,63,score,0.00726,0.007802988444460279,0.08802583051641819,0.1413902542396968
credit,400,attr_val,251,63,score,0.0126,0.007802988444460279,0.08802583051641819,0.1413902542396968
credit,400,attr_val,251,63,score,0.126,0.007802988444460279,0.08802583051641819,0.1413902542396968
credit,400,attr_val,251,63,score,0.1526,0.007802988444460279,0.08802583051641819,0.1413902542396968
credit,400,attr_val,268,67,score,0.00727,0.0032673659938553604,0.057852897983517136,0.10449392922678576
credit,400,attr_val,268,67,score,0.0127,0.0032673659938553604,0.057852897983517136,0.10449392922678576
credit,400,attr_val,268,67,score,0.127,0.0032673659938553604,0.057852897983517136,0.10449392922678576
credit,400,attr_val,268,67,score,0.1527,0.0032673659938553604,0.057852897983517136,0.10449392922678576
credit,400,attr_val,262,66,score,0.00728,0.00534538336216654,0.07955945559600934,0.06553631478501043
credit,400,attr_val,262,66,score,0.0128,0.00534538336216654,0.07955945559600934,0.06553631478501043
credit,400,attr_val,262,66,score,0.128,0.00534538336216654,0.07955945559600934,0.06553631478501043
credit,400,attr_val,262,66,score,0.1528,0.00534538336216654,0.07955945559600934,0.06553631478501043
credit,400,attr_val,259,65,score,0.00729,0.029303482862750647,0.16220273503644517,0.3028112854581986
credit,400,attr_val,259,65,score,0.0129,0.029303482862750647,0.16220273503644517,0.3028112854581986
credit,400,attr_val,259,65,score,0.129,0.029303482862750647,0.16220273503644517,0.3028112854581986
credit,400,attr_val,259,65,score,0.1529,0.029303482862750647,0.16220273503644517,0.3028112854581986
