Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,22,44,score,DPC0,0.0921326826081412,0.3388759510291754,0.0
credit,50,attr_val,26,52,score,DPC0,0.005379215493056122,0.08555257452444331,0.07125993039395793
german,50,attr_val,22,44,score,DTC0,0.0921326826081412,0.3497397249922513,0.0
credit,50,attr_val,26,52,score,DTC0,0.005379215493056122,0.08555257452444331,0.07125993039395793
german,50,attr_val,22,44,score,DIC0,0.08974915008095842,0.31991390380054313,0.0
credit,50,attr_val,26,52,score,DIC0,0.005379215493056122,0.08555257452444331,0.07125993039395793
german,50,attr_val,24,48,score,DPC1,0.022417135474358675,0.13735045273780358,0.0
credit,50,attr_val,28,56,score,DPC1,0.03279193538667893,0.18451492420764462,0.13668248376458578
german,50,attr_val,24,48,score,DTC1,0.022417135474358675,0.13455359467064734,0.0
credit,50,attr_val,28,56,score,DTC1,0.03279193538667893,0.18451492420764462,0.13668248376458578
german,50,attr_val,24,48,score,DIC1,0.02206264304420428,0.12917044919439177,0.004855579551538043
credit,50,attr_val,28,56,score,DIC1,0.03371304126684797,0.19715689820427865,0.16025764265429507
german,50,attr_val,21,42,score,DPC2,0.060275278924001224,0.25103240586686093,0.14787866465215374
credit,50,attr_val,31,62,score,DPC2,0.019584169841489554,0.1550817282088253,0.15989113654931475
german,50,attr_val,21,42,score,DTC2,0.060275278924001224,0.25582299892768623,0.14787866465215374
credit,50,attr_val,31,62,score,DTC2,0.020530716939638437,0.1550817282088253,0.15989113654931475
german,50,attr_val,21,42,score,DIC2,0.05316653284131055,0.23539059224734551,0.14787866465215374
credit,50,attr_val,31,62,score,DIC2,0.018512698179972035,0.14962469030390912,0.15989113654931475
german,50,attr_val,18,36,score,DPC3,0.3281810173282891,0.5346557312006099,0.0
credit,50,attr_val,28,56,score,DPC3,0.005135927763082885,0.07147984082571125,0.06739031434450952
german,50,attr_val,18,36,score,DTC3,0.3281810173282891,0.5305143593692773,0.0
credit,50,attr_val,28,56,score,DTC3,0.005135927763082885,0.07147984082571125,0.06739031434450952
german,50,attr_val,18,36,score,DIC3,0.31871330457447344,0.4968509524842523,0.0
credit,50,attr_val,28,56,score,DIC3,0.005135927763082885,0.07147984082571125,0.06739031434450952
