Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,65,attr_val,23,35,score,1.2,0.050632616171330636,0.20303536583319798,0.0
credit,1446,attr_val,838,58,score,1.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.3,0.050632616171330636,0.19542158775308743,0.0
credit,1446,attr_val,838,58,score,1.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.4,0.050632616171330636,0.20534905607113668,0.0
credit,1446,attr_val,838,58,score,1.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.5,0.050632616171330636,0.19403095018304758,0.0
credit,1446,attr_val,838,58,score,1.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.6,0.050632616171330636,0.19782177288814048,0.0
credit,1446,attr_val,838,58,score,1.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.7,0.050632616171330636,0.19520675155800168,0.0
credit,1446,attr_val,838,58,score,1.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,1.8,0.050632616171330636,0.19614290402629128,0.0
credit,1446,attr_val,838,58,score,1.8,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.2,0.050632616171330636,0.20001752316279467,0.0
credit,1446,attr_val,838,58,score,2.2,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.3,0.050632616171330636,0.1995296301503682,0.0
credit,1446,attr_val,838,58,score,2.3,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.4,0.050632616171330636,0.19520675155800168,0.0
credit,1446,attr_val,838,58,score,2.4,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.5,0.050632616171330636,0.19567370810105775,0.0
credit,1446,attr_val,838,58,score,2.5,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.6,0.050632616171330636,0.1978217728881405,0.0
credit,1446,attr_val,838,58,score,2.6,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.7,0.050632616171330636,0.19734452027276617,0.0
credit,1446,attr_val,838,58,score,2.7,0.12920681659409874,0.247580724012454,0.042197629117656385
german,65,attr_val,23,35,score,2.8,0.050632616171330636,0.19782177288814048,0.0
