Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,400,attr_val,231,58,score,0.0070,0.16143327152316808,0.2451526623405036,0.06821270695268915
credit,400,attr_val,231,58,score,0.010,0.16143327152316808,0.2451526623405036,0.06821270695268915
credit,400,attr_val,231,58,score,0.10,0.16143327152316808,0.2451526623405036,0.06821270695268915
credit,400,attr_val,231,58,score,0.150,0.16143327152316808,0.2451526623405036,0.06821270695268915
credit,400,attr_val,226,56,score,0.0071,0.17762872672579605,0.31631005511915516,0.06770581514139004
credit,400,attr_val,226,56,score,0.011,0.17762872672579605,0.31631005511915516,0.06770581514139004
credit,400,attr_val,226,56,score,0.11,0.17762872672579605,0.31631005511915516,0.06770581514139004
credit,400,attr_val,226,56,score,0.151,0.17762872672579605,0.31631005511915516,0.06770581514139004
credit,400,attr_val,224,56,score,0.0072,0.17768440371714805,0.3124287845731028,0.06750650910438391
credit,400,attr_val,224,56,score,0.012,0.17768440371714805,0.3124287845731028,0.06750650910438391
credit,400,attr_val,224,56,score,0.12,0.17768440371714805,0.3124287845731028,0.06750650910438391
credit,400,attr_val,224,56,score,0.152,0.17768440371714805,0.3124287845731028,0.06750650910438391
credit,400,attr_val,220,55,score,0.0073,0.1534058687335821,0.2614315051007522,0.0671006856024138
credit,400,attr_val,220,55,score,0.013,0.1534058687335821,0.2614315051007522,0.0671006856024138
credit,400,attr_val,220,55,score,0.13,0.1534058687335821,0.2614315051007522,0.0671006856024138
credit,400,attr_val,220,55,score,0.153,0.1534058687335821,0.2614315051007522,0.0671006856024138
credit,400,attr_val,246,62,score,0.0074,0.06152586110394742,0.16828702014929575,0.01031414901377008
credit,400,attr_val,246,62,score,0.014,0.06152586110394742,0.16828702014929575,0.01031414901377008
credit,400,attr_val,246,62,score,0.14,0.06152586110394742,0.16828702014929575,0.01031414901377008
credit,400,attr_val,246,62,score,0.154,0.06152586110394742,0.16828702014929575,0.01031414901377008
credit,400,attr_val,233,58,score,0.0075,0.07763826818696244,0.24629891818960611,5.0657613976043556e-05
credit,400,attr_val,233,58,score,0.015,0.07763826818696244,0.24629891818960611,5.0657613976043556e-05
credit,400,attr_val,233,58,score,0.15,0.07763826818696244,0.24629891818960611,5.0657613976043556e-05
credit,400,attr_val,233,58,score,0.155,0.07763826818696244,0.24629891818960611,5.0657613976043556e-05
credit,400,attr_val,226,56,score,0.0076,0.20271536375151222,0.33835932245985073,0.06770581514139004
credit,400,attr_val,226,56,score,0.016,0.20271536375151222,0.33835932245985073,0.06770581514139004
credit,400,attr_val,226,56,score,0.16,0.20271536375151222,0.33835932245985073,0.06770581514139004
credit,400,attr_val,226,56,score,0.156,0.20271536375151222,0.33835932245985073,0.06770581514139004
credit,400,attr_val,241,60,score,0.0077,0.1890469699049555,0.3265020310752607,0.06923981019500941
credit,400,attr_val,241,60,score,0.017,0.1890469699049555,0.3265020310752607,0.06923981019500941
credit,400,attr_val,241,60,score,0.17,0.1890469699049555,0.3265020310752607,0.06923981019500941
credit,400,attr_val,241,60,score,0.157,0.1890469699049555,0.3265020310752607,0.06923981019500941
credit,400,attr_val,221,55,score,0.0078,0.26378761003872964,0.36552206497993656,0.12026546894152959
credit,400,attr_val,221,55,score,0.018,0.26378761003872964,0.36552206497993656,0.12026546894152959
credit,400,attr_val,221,55,score,0.18,0.26378761003872964,0.36552206497993656,0.12026546894152959
credit,400,attr_val,221,55,score,0.158,0.26378761003872964,0.36552206497993656,0.12026546894152959
credit,400,attr_val,210,52,score,0.0079,0.09931712499610627,0.24739304310646115,0.00020407480176694968
credit,400,attr_val,210,52,score,0.019,0.09931712499610627,0.24739304310646115,0.00020407480176694968
credit,400,attr_val,210,52,score,0.19,0.09931712499610627,0.24739304310646115,0.00020407480176694968
credit,400,attr_val,210,52,score,0.159,0.09931712499610627,0.24739304310646115,0.00020407480176694968
credit,400,attr_val,218,54,score,0.00710,0.1838224211547695,0.2915245543052981,0.06701072944557232
credit,400,attr_val,218,54,score,0.0110,0.1838224211547695,0.2915245543052981,0.06701072944557232
credit,400,attr_val,218,54,score,0.110,0.1838224211547695,0.2915245543052981,0.06701072944557232
credit,400,attr_val,218,54,score,0.1510,0.1838224211547695,0.2915245543052981,0.06701072944557232
credit,400,attr_val,217,54,score,0.00711,0.07796557510465733,0.22553785593708303,0.0
credit,400,attr_val,217,54,score,0.0111,0.07796557510465733,0.22553785593708303,0.0
credit,400,attr_val,217,54,score,0.111,0.07796557510465733,0.22553785593708303,0.0
credit,400,attr_val,217,54,score,0.1511,0.07796557510465733,0.22553785593708303,0.0
credit,400,attr_val,237,59,score,0.00712,0.050369217700244766,0.1667944841542893,0.0029876721048151572
credit,400,attr_val,237,59,score,0.0112,0.050369217700244766,0.1667944841542893,0.0029876721048151572
credit,400,attr_val,237,59,score,0.112,0.050369217700244766,0.1667944841542893,0.0029876721048151572
credit,400,attr_val,237,59,score,0.1512,0.050369217700244766,0.1667944841542893,0.0029876721048151572
credit,400,attr_val,227,57,score,0.00713,0.09620330793145611,0.26662638773765474,0.0
credit,400,attr_val,227,57,score,0.0113,0.09620330793145611,0.26662638773765474,0.0
credit,400,attr_val,227,57,score,0.113,0.09620330793145611,0.26662638773765474,0.0
credit,400,attr_val,227,57,score,0.1513,0.09620330793145611,0.26662638773765474,0.0
credit,400,attr_val,228,57,score,0.00714,0.10757479426108654,0.24745877747394499,0.00023972279532462256
credit,400,attr_val,228,57,score,0.0114,0.10757479426108654,0.24745877747394499,0.00023972279532462256
credit,400,attr_val,228,57,score,0.114,0.10757479426108654,0.24745877747394499,0.00023972279532462256
credit,400,attr_val,228,57,score,0.1514,0.10757479426108654,0.24745877747394499,0.00023972279532462256
credit,400,attr_val,231,58,score,0.00715,0.11031576190304462,0.25191234584899025,0.0
credit,400,attr_val,231,58,score,0.0115,0.11031576190304462,0.25191234584899025,0.0
credit,400,attr_val,231,58,score,0.115,0.11031576190304462,0.25191234584899025,0.0
credit,400,attr_val,231,58,score,0.1515,0.11031576190304462,0.25191234584899025,0.0
credit,400,attr_val,243,61,score,0.00716,0.15682995527729618,0.2694060678360693,0.06945731086574634
credit,400,attr_val,243,61,score,0.0116,0.15682995527729618,0.2694060678360693,0.06945731086574634
credit,400,attr_val,243,61,score,0.116,0.15682995527729618,0.2694060678360693,0.06945731086574634
credit,400,attr_val,243,61,score,0.1516,0.15682995527729618,0.2694060678360693,0.06945731086574634
credit,400,attr_val,232,58,score,0.00717,0.13978751721446114,0.2295421982229463,0.06836626926812304
credit,400,attr_val,232,58,score,0.0117,0.13978751721446114,0.2295421982229463,0.06836626926812304
credit,400,attr_val,232,58,score,0.117,0.13978751721446114,0.2295421982229463,0.06836626926812304
credit,400,attr_val,232,58,score,0.1517,0.13978751721446114,0.2295421982229463,0.06836626926812304
credit,400,attr_val,243,61,score,0.00718,0.16410640183815764,0.2380307313370423,0.07562011475658957
credit,400,attr_val,243,61,score,0.0118,0.16410640183815764,0.2380307313370423,0.07562011475658957
credit,400,attr_val,243,61,score,0.118,0.16410640183815764,0.2380307313370423,0.07562011475658957
credit,400,attr_val,243,61,score,0.1518,0.16410640183815764,0.2380307313370423,0.07562011475658957
credit,400,attr_val,244,61,score,0.00719,0.20371203049717862,0.21257660883677937,0.12992583948214742
credit,400,attr_val,244,61,score,0.0119,0.20371203049717862,0.21257660883677937,0.12992583948214742
credit,400,attr_val,244,61,score,0.119,0.20371203049717862,0.21257660883677937,0.12992583948214742
credit,400,attr_val,244,61,score,0.1519,0.20371203049717862,0.21257660883677937,0.12992583948214742
credit,400,attr_val,232,58,score,0.00720,0.09301731956556979,0.2778457504185082,0.0
credit,400,attr_val,232,58,score,0.0120,0.09301731956556979,0.2778457504185082,0.0
credit,400,attr_val,232,58,score,0.120,0.09301731956556979,0.2778457504185082,0.0
credit,400,attr_val,232,58,score,0.1520,0.09301731956556979,0.2778457504185082,0.0
credit,400,attr_val,234,58,score,0.00721,0.055850457546206204,0.18054798972171437,0.0
credit,400,attr_val,234,58,score,0.0121,0.055850457546206204,0.18054798972171437,0.0
credit,400,attr_val,234,58,score,0.121,0.055850457546206204,0.18054798972171437,0.0
credit,400,attr_val,234,58,score,0.1521,0.055850457546206204,0.18054798972171437,0.0
credit,400,attr_val,225,56,score,0.00722,0.1334516836279522,0.2904971980764726,0.00010588897033558921
credit,400,attr_val,225,56,score,0.0122,0.1334516836279522,0.2904971980764726,0.00010588897033558921
credit,400,attr_val,225,56,score,0.122,0.1334516836279522,0.2904971980764726,0.00010588897033558921
credit,400,attr_val,225,56,score,0.1522,0.1334516836279522,0.2904971980764726,0.00010588897033558921
credit,400,attr_val,226,56,score,0.00723,0.14447638337892416,0.33197172759926835,0.0003800713137221246
credit,400,attr_val,226,56,score,0.0123,0.14447638337892416,0.33197172759926835,0.0003800713137221246
credit,400,attr_val,226,56,score,0.123,0.14447638337892416,0.33197172759926835,0.0003800713137221246
credit,400,attr_val,226,56,score,0.1523,0.14447638337892416,0.33197172759926835,0.0003800713137221246
credit,400,attr_val,232,58,score,0.00724,0.057032504784004984,0.1948838939670424,0.0
credit,400,attr_val,232,58,score,0.0124,0.057032504784004984,0.1948838939670424,0.0
credit,400,attr_val,232,58,score,0.124,0.057032504784004984,0.1948838939670424,0.0
credit,400,attr_val,232,58,score,0.1524,0.057032504784004984,0.1948838939670424,0.0
credit,400,attr_val,219,55,score,0.00725,0.21874588180843704,0.36688335470942457,0.06700715114495477
credit,400,attr_val,219,55,score,0.0125,0.21874588180843704,0.36688335470942457,0.06700715114495477
credit,400,attr_val,219,55,score,0.125,0.21874588180843704,0.36688335470942457,0.06700715114495477
credit,400,attr_val,219,55,score,0.1525,0.21874588180843704,0.36688335470942457,0.06700715114495477
credit,400,attr_val,247,62,score,0.00726,0.18801547007703986,0.31020415533716433,0.06988570465447215
credit,400,attr_val,247,62,score,0.0126,0.18801547007703986,0.31020415533716433,0.06988570465447215
credit,400,attr_val,247,62,score,0.126,0.18801547007703986,0.31020415533716433,0.06988570465447215
credit,400,attr_val,247,62,score,0.1526,0.18801547007703986,0.31020415533716433,0.06988570465447215
credit,400,attr_val,231,58,score,0.00727,0.06229644844953212,0.17549772286035753,0.026423843980450303
credit,400,attr_val,231,58,score,0.0127,0.06229644844953212,0.17549772286035753,0.026423843980450303
credit,400,attr_val,231,58,score,0.127,0.06229644844953212,0.17549772286035753,0.026423843980450303
credit,400,attr_val,231,58,score,0.1527,0.06229644844953212,0.17549772286035753,0.026423843980450303
credit,400,attr_val,226,56,score,0.00728,0.07928949884379127,0.20638558371967236,0.0
credit,400,attr_val,226,56,score,0.0128,0.07928949884379127,0.20638558371967236,0.0
credit,400,attr_val,226,56,score,0.128,0.07928949884379127,0.20638558371967236,0.0
credit,400,attr_val,226,56,score,0.1528,0.07928949884379127,0.20638558371967236,0.0
credit,400,attr_val,239,60,score,0.00729,0.11875270846266013,0.18043484893594525,0.07340556845115943
credit,400,attr_val,239,60,score,0.0129,0.11875270846266013,0.18043484893594525,0.07340556845115943
credit,400,attr_val,239,60,score,0.129,0.11875270846266013,0.18043484893594525,0.07340556845115943
credit,400,attr_val,239,60,score,0.1529,0.11875270846266013,0.18043484893594525,0.07340556845115943
credit,400,attr_val,235,59,score,0.00730,0.16376048271394006,0.27913720324903357,0.06862092476652501
credit,400,attr_val,235,59,score,0.0130,0.16376048271394006,0.27913720324903357,0.06862092476652501
credit,400,attr_val,235,59,score,0.130,0.16376048271394006,0.27913720324903357,0.06862092476652501
credit,400,attr_val,235,59,score,0.1530,0.16376048271394006,0.27913720324903357,0.06862092476652501
credit,400,attr_val,232,58,score,0.00731,0.011080368302329202,0.10194163599906096,0.0
credit,400,attr_val,232,58,score,0.0131,0.011080368302329202,0.10194163599906096,0.0
credit,400,attr_val,232,58,score,0.131,0.011080368302329202,0.10194163599906096,0.0
credit,400,attr_val,232,58,score,0.1531,0.011080368302329202,0.10194163599906096,0.0
credit,400,attr_val,230,58,score,0.00732,0.14930219224728852,0.2263144589712526,0.07506621968384306
credit,400,attr_val,230,58,score,0.0132,0.14930219224728852,0.2263144589712526,0.07506621968384306
credit,400,attr_val,230,58,score,0.132,0.14930219224728852,0.2263144589712526,0.07506621968384306
credit,400,attr_val,230,58,score,0.1532,0.14930219224728852,0.2263144589712526,0.07506621968384306
credit,400,attr_val,226,56,score,0.00733,0.07404405233439923,0.22696929163855742,0.0
credit,400,attr_val,226,56,score,0.0133,0.07404405233439923,0.22696929163855742,0.0
credit,400,attr_val,226,56,score,0.133,0.07404405233439923,0.22696929163855742,0.0
credit,400,attr_val,226,56,score,0.1533,0.07404405233439923,0.22696929163855742,0.0
credit,400,attr_val,242,60,score,0.00734,0.158554905392798,0.261843371462897,0.06934883937471747
credit,400,attr_val,242,60,score,0.0134,0.158554905392798,0.261843371462897,0.06934883937471747
credit,400,attr_val,242,60,score,0.134,0.158554905392798,0.261843371462897,0.06934883937471747
credit,400,attr_val,242,60,score,0.1534,0.158554905392798,0.261843371462897,0.06934883937471747
credit,400,attr_val,249,62,score,0.00735,0.23124669444849413,0.2789547163947201,0.12554236474312677
credit,400,attr_val,249,62,score,0.0135,0.23124669444849413,0.2789547163947201,0.12554236474312677
credit,400,attr_val,249,62,score,0.135,0.23124669444849413,0.2789547163947201,0.12554236474312677
credit,400,attr_val,249,62,score,0.1535,0.23124669444849413,0.2789547163947201,0.12554236474312677
credit,400,attr_val,234,58,score,0.00736,0.07720137671642438,0.22251834459300138,4.356834255871277e-05
credit,400,attr_val,234,58,score,0.0136,0.07720137671642438,0.22251834459300138,4.356834255871277e-05
credit,400,attr_val,234,58,score,0.136,0.07720137671642438,0.22251834459300138,4.356834255871277e-05
credit,400,attr_val,234,58,score,0.1536,0.07720137671642438,0.22251834459300138,4.356834255871277e-05
credit,400,attr_val,223,56,score,0.00737,0.07927094720801232,0.23521065820603052,0.0
credit,400,attr_val,223,56,score,0.0137,0.07927094720801232,0.23521065820603052,0.0
credit,400,attr_val,223,56,score,0.137,0.07927094720801232,0.23521065820603052,0.0
credit,400,attr_val,223,56,score,0.1537,0.07927094720801232,0.23521065820603052,0.0
credit,400,attr_val,236,59,score,0.00738,0.05683314336045955,0.2018129208703489,0.0
credit,400,attr_val,236,59,score,0.0138,0.05683314336045955,0.2018129208703489,0.0
credit,400,attr_val,236,59,score,0.138,0.05683314336045955,0.2018129208703489,0.0
credit,400,attr_val,236,59,score,0.1538,0.05683314336045955,0.2018129208703489,0.0
credit,400,attr_val,226,56,score,0.00739,0.07572950561318342,0.19471170413804448,0.00012431843081601627
credit,400,attr_val,226,56,score,0.0139,0.07572950561318342,0.19471170413804448,0.00012431843081601627
credit,400,attr_val,226,56,score,0.139,0.07572950561318342,0.19471170413804448,0.00012431843081601627
credit,400,attr_val,226,56,score,0.1539,0.07572950561318342,0.19471170413804448,0.00012431843081601627
credit,400,attr_val,233,58,score,0.00740,0.14522901108322944,0.26386832223580275,0.06846392065629436
credit,400,attr_val,233,58,score,0.0140,0.14522901108322944,0.26386832223580275,0.06846392065629436
credit,400,attr_val,233,58,score,0.140,0.14522901108322944,0.26386832223580275,0.06846392065629436
credit,400,attr_val,233,58,score,0.1540,0.14522901108322944,0.26386832223580275,0.06846392065629436
credit,400,attr_val,224,56,score,0.00741,0.11169237509613116,0.2745284061496964,0.0
credit,400,attr_val,224,56,score,0.0141,0.11169237509613116,0.2745284061496964,0.0
credit,400,attr_val,224,56,score,0.141,0.11169237509613116,0.2745284061496964,0.0
credit,400,attr_val,224,56,score,0.1541,0.11169237509613116,0.2745284061496964,0.0
credit,400,attr_val,225,56,score,0.00742,0.20277366711999262,0.3562192703107623,0.06760645813631802
credit,400,attr_val,225,56,score,0.0142,0.20277366711999262,0.3562192703107623,0.06760645813631802
credit,400,attr_val,225,56,score,0.142,0.20277366711999262,0.3562192703107623,0.06760645813631802
credit,400,attr_val,225,56,score,0.1542,0.20277366711999262,0.3562192703107623,0.06760645813631802
credit,400,attr_val,231,58,score,0.00743,0.11417473220418042,0.26754523575735106,0.0005919667393161319
credit,400,attr_val,231,58,score,0.0143,0.11417473220418042,0.26754523575735106,0.0005919667393161319
credit,400,attr_val,231,58,score,0.143,0.11417473220418042,0.26754523575735106,0.0005919667393161319
credit,400,attr_val,231,58,score,0.1543,0.11417473220418042,0.26754523575735106,0.0005919667393161319
credit,400,attr_val,220,55,score,0.00744,0.10788705634839689,0.2790267007782025,0.0
credit,400,attr_val,220,55,score,0.0144,0.10788705634839689,0.2790267007782025,0.0
credit,400,attr_val,220,55,score,0.144,0.10788705634839689,0.2790267007782025,0.0
credit,400,attr_val,220,55,score,0.1544,0.10788705634839689,0.2790267007782025,0.0
credit,400,attr_val,218,54,score,0.00745,0.05530326972477303,0.17483936396334784,0.0019120275808650266
credit,400,attr_val,218,54,score,0.0145,0.05530326972477303,0.17483936396334784,0.0019120275808650266
credit,400,attr_val,218,54,score,0.145,0.05530326972477303,0.17483936396334784,0.0019120275808650266
credit,400,attr_val,218,54,score,0.1545,0.05530326972477303,0.17483936396334784,0.0019120275808650266
credit,400,attr_val,231,58,score,0.00746,0.04157608569098421,0.15353080683822892,0.00013319230165961715
credit,400,attr_val,231,58,score,0.0146,0.04157608569098421,0.15353080683822892,0.00013319230165961715
credit,400,attr_val,231,58,score,0.146,0.04157608569098421,0.15353080683822892,0.00013319230165961715
credit,400,attr_val,231,58,score,0.1546,0.04157608569098421,0.15353080683822892,0.00013319230165961715
credit,400,attr_val,227,57,score,0.00747,0.08865546779289198,0.20429547750582214,0.00021427701645322403
credit,400,attr_val,227,57,score,0.0147,0.08865546779289198,0.20429547750582214,0.00021427701645322403
credit,400,attr_val,227,57,score,0.147,0.08865546779289198,0.20429547750582214,0.00021427701645322403
credit,400,attr_val,227,57,score,0.1547,0.08865546779289198,0.20429547750582214,0.00021427701645322403
credit,400,attr_val,233,58,score,0.00748,0.17023248507650648,0.2857137946928234,0.06841326304231832
credit,400,attr_val,233,58,score,0.0148,0.17023248507650648,0.2857137946928234,0.06841326304231832
credit,400,attr_val,233,58,score,0.148,0.17023248507650648,0.2857137946928234,0.06841326304231832
credit,400,attr_val,233,58,score,0.1548,0.17023248507650648,0.2857137946928234,0.06841326304231832
