Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,18,36,score,DPC0,0.014391974568319109,0.1159554792318993,0.0
credit,50,attr_val,29,58,score,DPC0,0.007895618884074569,0.09226538942683593,0.06659811699042768
german,50,attr_val,18,36,score,DTC0,0.014391974568319109,0.11595547923189932,0.0
credit,50,attr_val,29,58,score,DTC0,0.007895618884074569,0.09226538942683593,0.06659811699042768
german,50,attr_val,18,36,score,DIC0,0.014391974568319109,0.12007395641600331,0.0
credit,50,attr_val,29,58,score,DIC0,0.00769214538756997,0.09226538942683593,0.06659811699042768
german,50,attr_val,17,34,score,DPC1,0.05798116738501564,0.18227563353675916,0.0
credit,50,attr_val,23,46,score,DPC1,0.011563267827661764,0.12522997834611715,0.0
german,50,attr_val,17,34,score,DTC1,0.05798116738501564,0.18371672548024964,0.0
credit,50,attr_val,23,46,score,DTC1,0.011563267827661764,0.12057896505090775,0.0
german,50,attr_val,17,34,score,DIC1,0.05798116738501564,0.18518078588951326,0.0
credit,50,attr_val,23,46,score,DIC1,0.011563267827661764,0.12057896505090779,0.0
german,50,attr_val,17,34,score,DPC2,0.017582354499323636,0.10640446433678989,0.05864740998662237
credit,50,attr_val,25,50,score,DPC2,0.17123853247612766,0.4250232727152379,0.0
german,50,attr_val,17,34,score,DTC2,0.017582354499323636,0.10810036396919591,0.05864740998662237
credit,50,attr_val,25,50,score,DTC2,0.17123853247612766,0.4250232727152379,0.0
german,50,attr_val,17,34,score,DIC2,0.017582354499323636,0.10724571016505494,0.05864740998662237
credit,50,attr_val,25,50,score,DIC2,0.17123853247612766,0.4250232727152379,0.0
german,50,attr_val,16,32,score,DPC3,0.1005876671350496,0.2784895833586177,0.0
credit,50,attr_val,25,50,score,DPC3,0.06313281141315472,0.2175924709302359,0.0
german,50,attr_val,16,32,score,DTC3,0.1005876671350496,0.2784895833586177,0.0
credit,50,attr_val,25,50,score,DTC3,0.06313281141315472,0.2175924709302359,0.0
german,50,attr_val,16,32,score,DIC3,0.1005876671350496,0.2852893283067892,0.0
credit,50,attr_val,25,50,score,DIC3,0.06313281141315472,0.2175924709302359,0.0
german,50,attr_val,19,38,score,DPC4,0.04255712186884016,0.2062805607502612,0.0
credit,50,attr_val,28,56,score,DPC4,0.09009398071630548,0.27292393998452286,0.0
german,50,attr_val,19,38,score,DTC4,0.04255712186884016,0.20564945726892142,0.0
credit,50,attr_val,28,56,score,DTC4,0.09009398071630548,0.27292393998452286,0.0
german,50,attr_val,19,38,score,DIC4,0.036980552267665244,0.18612045716662787,0.0
credit,50,attr_val,28,56,score,DIC4,0.09009398071630548,0.27292393998452286,0.0
german,50,attr_val,20,40,score,DPC5,0.09261580779849032,0.31171507398464227,0.0
credit,50,attr_val,27,54,score,DPC5,0.021992851173210523,0.16840783673466658,0.0
german,50,attr_val,20,40,score,DTC5,0.09261580779849032,0.31075424492723,0.0
credit,50,attr_val,27,54,score,DTC5,0.021992851173210523,0.16840783673466658,0.0
german,50,attr_val,20,40,score,DIC5,0.08647217136988261,0.28802664390061594,0.0
credit,50,attr_val,27,54,score,DIC5,0.021992851173210523,0.16840783673466658,0.0
german,50,attr_val,19,38,score,DPC6,0.094296318439913,0.2652557189668259,0.0
credit,50,attr_val,28,56,score,DPC6,0.03576941595448603,0.19461045893392667,0.0
german,50,attr_val,19,38,score,DTC6,0.094296318439913,0.27329768823341805,0.0
credit,50,attr_val,28,56,score,DTC6,0.03485119798088254,0.19461045893392667,0.0
german,50,attr_val,19,38,score,DIC6,0.094296318439913,0.26119727206483473,0.0
credit,50,attr_val,28,56,score,DIC6,0.039289582112037244,0.2128387860286752,0.0
german,50,attr_val,19,38,score,DPC7,0.04255712186884016,0.20564945726892142,0.0
credit,50,attr_val,29,58,score,DPC7,0.09719655838830898,0.3410948494611752,0.0
german,50,attr_val,19,38,score,DTC7,0.04255712186884016,0.21020174295330285,0.0
credit,50,attr_val,29,58,score,DTC7,0.10367891624373242,0.3410948494611752,0.0
german,50,attr_val,19,38,score,DIC7,0.036980552267665244,0.1926457571365886,0.0
credit,50,attr_val,29,58,score,DIC7,0.10367891624373242,0.3410948494611752,0.0
german,50,attr_val,20,40,score,DPC8,0.006996145447510796,0.07669593263675542,0.0
credit,50,attr_val,25,50,score,DPC8,0.17219316036030155,0.41756066204482156,0.0
german,50,attr_val,20,40,score,DTC8,0.006996145447510796,0.07351128606649056,0.0
credit,50,attr_val,25,50,score,DTC8,0.17219316036030155,0.41756066204482156,0.0
german,50,attr_val,20,40,score,DIC8,0.006996145447510796,0.07174402403059246,0.0
credit,50,attr_val,25,50,score,DIC8,0.17219316036030155,0.41756066204482156,0.0
german,50,attr_val,20,40,score,DPC9,0.07389495609202949,0.249076282063647,0.0
credit,50,attr_val,24,48,score,DPC9,0.03111160631217923,0.18886227730060412,0.12227959401114673
german,50,attr_val,20,40,score,DTC9,0.07389495609202949,0.24336174758472984,0.0
credit,50,attr_val,24,48,score,DTC9,0.03111160631217923,0.18517634832933647,0.12227959401114673
german,50,attr_val,20,40,score,DIC9,0.07389495609202949,0.2510412358994008,0.0
credit,50,attr_val,24,48,score,DIC9,0.03111160631217923,0.18791506619377565,0.12227959401114673
german,50,attr_val,20,40,score,DPC10,0.16942339652277996,0.377554869866373,0.0
credit,50,attr_val,27,54,score,DPC10,0.03100142173006157,0.1665216297980789,0.254583729170479
german,50,attr_val,20,40,score,DTC10,0.16942339652277996,0.3723291306819089,0.0
credit,50,attr_val,27,54,score,DTC10,0.03100142173006157,0.1665216297980789,0.254583729170479
german,50,attr_val,20,40,score,DIC10,0.16942339652277996,0.37346788295920486,0.0
credit,50,attr_val,27,54,score,DIC10,0.03100142173006157,0.1665216297980789,0.254583729170479
german,50,attr_val,13,26,score,DPC11,0.027290539618357357,0.12383789389086955,0.11025697989518052
credit,50,attr_val,27,54,score,DPC11,0.022350470533802146,0.17440917167637188,0.09381634224771512
german,50,attr_val,13,26,score,DTC11,0.027290539618357357,0.12074239729211195,0.11025697989518052
credit,50,attr_val,27,54,score,DTC11,0.022350470533802146,0.17440917167637188,0.09381634224771512
german,50,attr_val,13,26,score,DIC11,0.027290539618357357,0.12074239729211195,0.11025697989518052
credit,50,attr_val,27,54,score,DIC11,0.022350470533802146,0.17440917167637188,0.09381634224771512
german,50,attr_val,19,38,score,DPC12,0.006963407300797918,0.07867149240625042,0.0
credit,50,attr_val,27,54,score,DPC12,0.018346161667095105,0.13957908691596677,0.058234135292133
german,50,attr_val,19,38,score,DTC12,0.006963407300797918,0.0803992557661663,0.0
credit,50,attr_val,27,54,score,DTC12,0.018346161667095105,0.13957908691596677,0.058234135292133
german,50,attr_val,19,38,score,DIC12,0.006963407300797918,0.07990345011222094,0.0
credit,50,attr_val,27,54,score,DIC12,0.018346161667095105,0.13957908691596677,0.058234135292133
german,50,attr_val,20,40,score,DPC13,0.021651064338630645,0.13436671205639134,0.0
credit,50,attr_val,24,48,score,DPC13,0.1509265686411605,0.44868874341912646,0.0
german,50,attr_val,20,40,score,DTC13,0.021651064338630645,0.13088975126818933,0.0
credit,50,attr_val,24,48,score,DTC13,0.1509265686411605,0.4432190962341498,0.0
german,50,attr_val,20,40,score,DIC13,0.021651064338630645,0.13373217692175124,0.0
credit,50,attr_val,24,48,score,DIC13,0.1509265686411605,0.44868874341912646,0.0
german,50,attr_val,17,34,score,DPC14,0.015877640406327838,0.12122145348099594,0.0
credit,50,attr_val,27,54,score,DPC14,0.10078955102730401,0.2565174188131398,0.022104480107128968
