Dataset,cg_method,base,rank,Block_size,Strictness,ratio
german,AC,dist,AC,5,2,0.9894993677607234
german,AC,dist,AC,10,2,0.9894993677607234
german,AC,dist,AC,15,2,0.9894993677607234
german,AC,dist,AC,20,2,0.9894993677607234
german,AC,dist,AC,25,2,0.9894993677607234
german,AC,dist,AC,30,2,0.9894993677607234
german,AC,dist,AC,35,2,0.9894993677607234
german,AC,dist,AC,5,3,0.9894993677607234
german,AC,dist,AC,10,3,0.9894993677607234
german,AC,dist,AC,15,3,0.9894993677607234
german,AC,dist,AC,20,3,0.9894993677607234
german,AC,dist,AC,25,3,0.9894993677607234
german,AC,dist,AC,30,3,0.9894993677607234
german,AC,dist,AC,35,3,0.9894993677607234
german,AC,dist,AC,5,4,0.9894993677607234
german,AC,dist,AC,10,4,0.9894993677607234
german,AC,dist,AC,15,4,0.9894993677607234
german,AC,dist,AC,20,4,0.9894993677607234
german,AC,dist,AC,25,4,0.9894993677607234
german,AC,dist,AC,30,4,0.9894993677607234
german,AC,dist,AC,35,4,0.9894993677607234
german,AC,dist,AC,5,5,0.9894993677607234
german,AC,dist,AC,10,5,0.9894993677607234
german,AC,dist,AC,15,5,0.9894993677607234
german,AC,dist,AC,20,5,0.9894993677607234
german,AC,dist,AC,25,5,0.9894993677607234
german,AC,dist,AC,30,5,0.9894993677607234
german,AC,dist,AC,35,5,0.9894993677607234
german,AC,dist,AC,5,6,0.9894993677607234
german,AC,dist,AC,10,6,0.9894993677607234
german,AC,dist,AC,15,6,0.9894993677607234
german,AC,dist,AC,20,6,0.9894993677607234
german,AC,dist,AC,25,6,0.9894993677607234
german,AC,dist,AC,30,6,0.9894993677607234
german,AC,dist,AC,35,6,0.9894993677607234
german,AC,dist,AC,5,7,0.9894993677607234
german,AC,dist,AC,10,7,0.9894993677607234
german,AC,dist,AC,15,7,0.9894993677607234
german,AC,dist,AC,20,7,0.9894993677607234
german,AC,dist,AC,25,7,0.9894993677607234
german,AC,dist,AC,30,7,0.9894993677607234
german,AC,dist,AC,35,7,0.9894993677607234
german,AC,dist,AC,5,8,0.9894993677607234
german,AC,dist,AC,10,8,0.9894993677607234
german,AC,dist,AC,15,8,0.9894993677607234
german,AC,dist,AC,20,8,0.9894993677607234
german,AC,dist,AC,25,8,0.9894993677607234
german,AC,dist,AC,30,8,0.9894993677607234
german,AC,dist,AC,35,8,0.9894993677607234
german,AC,prob,AC,5,2,0.9977042851572618
german,AC,prob,AC,10,2,0.9977042851572618
german,AC,prob,AC,15,2,0.9945769275764584
german,AC,prob,AC,20,2,0.9945769275764584
german,AC,prob,AC,25,2,0.9606224160478356
german,AC,prob,AC,30,2,0.9600679216374904
german,AC,prob,AC,35,2,0.957420932224567
german,AC,prob,AC,5,3,0.9559497750041577
