,datapoint,attr_val,data_values,flipset_values,score
0,5448,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 230.0, 40.0, 0.0, 6.0, 0.0, 200.0, 0.0]","[0, 1, 1, 1, 1, 0, 230.0, 0.0, 0, 6, 0, 200.0, 0.0]",7.777561734396267e-05
1,5203,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 450.0, 80.0, 0.0, 6.0, 0.0, 310.0, 80.0]","[1, 0, 1, 1, 0, 0, 450.0, 0.0, 0, 6, 0, 310.0, 80.0]",0.00015555123468792537
2,11,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2160.0, 90.0, 0.0, 0.0, 0.0, 2160.0, 90.0]","[0, 1, 1, 1, 1, 1, 2159.9966460436817, 0.0, 0, 0, 0, 2159.9966460436817, 82.6524411781214]",0.00024038286905514282
3,1345,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 310.0, 310.0, 1.0, 6.0, 0.0, 60.0, 0.0]","[1, 0, 1, 1, 1, 0, 332.64381258469, 315.5016023251589, 1, 6, 0, 0.0, 0.0]",0.0002589980686967273
4,7015,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 160.0, 60.0, 1.0, 6.0, 0.0, 160.0, 30.0]","[1, 0, 1, 1, 1, 0, 160.0, 60.0, 1, 6, 0, 160.0, 0.0]",0.0002669039145907473
5,7758,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1380.0, 40.0, 0.0, 6.0, 0.0, 1380.0, 40.0]","[1, 0, 1, 1, 1, 1, 1380.0, 40.0, 0, 6, 0, 1382.0719647971343, 0.80178892557647]",0.00035577406680650694
6,2993,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 160.0, 60.0, 0.0, 6.0, 0.0, 110.0, 30.0]","[0, 1, 1, 1, 1, 0, 215.19308835575475, 74.08148718430553, 0, 6, 0, 113.03860283976255, 0.3710382661419948]",0.0004099270364093647
7,6374,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 950.0, 160.0, 0.0, 1.0, 0.0, 810.0, 160.0]","[0, 1, 1, 1, 1, 1, 1008.7256748964733, 4.97515113945545, 0, 1, 0, 815.6612272762534, 160.11736591743136]",0.0004372751669278399
8,9765,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 300.0, 150.0, 0.0, 6.0, 0.0, 60.0, 50.0]","[0, 1, 1, 1, 1, 0, 308.64756951958435, 150.0359705129961, 0, 6, 0, 59.99987741392697, 0.0]",0.0004619296389885926
9,3293,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 40.0, 40.0, 1.0, 6.0, 0.0, 40.0, 40.0]","[1, 0, 1, 1, 1, 0, 0.0, 111.84095087856326, 1, 6, 0, 40.0, 7.283596231360591]",0.0005094827260348851
10,9353,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 340.0, 60.0, 0.0, 6.0, 0.0, 130.0, 60.0]","[0, 1, 1, 1, 1, 0, 340.0, 60.25743026717082, 0, 6, 0, 133.33001787813978, 0.06770155800284589]",0.0005450134083178998
11,6033,1.0,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 3160.0, 160.0, 0.0, 0.0, 1.0, 3160.0, 80.0]","[0, 1, 1, 1, 0, 0, 3279.648689851149, 0.0, 0, 0, 1, 3159.9961398900195, 79.9961398900195]",0.0005466324815204774
12,6345,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 40.0, 40.0, 1.0, 6.0, 0.0, 40.0, 40.0]","[1, 0, 1, 1, 1, 0, 39.97089099157192, 0.0, 1, 6, 0, 0.0, 0.0]",0.0005695282229267048
13,9288,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 280.0, 90.0, 0.0, 6.0, 0.0, 170.0, 0.0]","[0, 1, 1, 1, 1, 0, 279.99526288692186, 93.86104646848042, 0, 6, 0, 0.0, 0.0]",0.0005847662805592483
14,1321,1.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 140.0, 80.0, 0.0, 6.0, 0.0, 110.0, 40.0]","[0, 1, 1, 1, 1, 0, 0.0, 79.99465606417897, 0, 6, 0, 109.99465606417897, 0.0]",0.0006314367343606017
