,datapoint,attr_val,data_values,flipset_values,score
0,496,1,"[1, 1, 29, 36, 2, 9034, 4, 1, 1, 1, 1, 1, 1, 3, 0, 0, 1, 1]","[1.0, 1.0, 29.0, 36.0, 2.0, 9034.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0]",1.0
1,481,1,"[1, 1, 26, 24, 0, 1201, 4, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0]","[1.0, 1.0, 26.0, 24.0, 0.0, 1201.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 1.0, 1.0, 1.0]",1.0
2,477,1,"[1, 1, 25, 24, 3, 5152, 4, 1, 1, 1, 1, 0, 3, 2, 0, 1, 2, 0]","[1.0, 1.0, 25.0, 24.0, 3.0, 5152.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 2.0, -0.0, 1.0, 2.0, 1.0]",1.0
3,368,1,"[1, 1, 42, 36, 2, 3446, 4, 1, 1, 1, 2, 0, 4, 2, 0, 1, 2, 0]","[1.0, 1.0, 42.0, 36.0, 2.0, 3446.0, 4.0, 1.0, 1.0, 1.0, 2.0, 0.0, 4.0, 2.0, -0.0, 1.0, 2.0, 1.0]",1.0
4,1,0,"[2, 0, 22, 48, 3, 5951, 2, 1, 1, 1, 1, 0, 2, 2, 0, 1, 2, 0]","[2.0, 0.0, 22.0, 48.0, 3.0, 5951.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 0.0]",1.0
5,528,0,"[1, 0, 31, 36, 3, 2302, 4, 1, 1, 1, 1, 0, 2, 2, 0, 0, 4, 0]","[1.0, 0.0, 31.0, 36.0, 3.0, 2302.0, 4.0, 0.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, 0.0, 0.0, 4.0, 0.0]",1.0
6,535,0,"[1, 0, 33, 21, 6, 2319, 2, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 0]","[1.0, 0.0, 33.0, 21.0, 6.0, 2319.0, 2.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 1.0, 1.0]",1.0
7,545,1,"[1, 1, 43, 24, 0, 1333, 4, 1, 1, 2, 2, 0, 0, 2, 1, 2, 2, 0]","[1.0, 1.0, 43.0, 24.0, 0.0, 1333.0, 4.0, 1.0, 1.0, 2.0, 2.0, -0.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0]",1.0
8,556,0,"[2, 0, 28, 18, 0, 2278, 3, 1, 1, 2, 1, 0, 1, 2, 0, 1, 3, 0]","[2.0, 0.0, 28.0, 18.0, 0.0, 2278.0, 3.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, -0.0, 1.0, 3.0, 1.0]",1.0
9,569,0,"[2, 0, 31, 48, 3, 6758, 3, 1, 1, 1, 1, 0, 2, 2, 0, 1, 2, 1]","[2.0, 0.0, 31.0, 48.0, 3.0, 6758.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0]",1.0
10,570,0,"[2, 0, 23, 24, 2, 3234, 4, 1, 1, 1, 1, 0, 1, 1, 0, 0, 4, 1]","[2.0, 0.0, 23.0, 24.0, 2.0, 3234.0, 4.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 4.0, 1.0]",1.0
11,503,1,"[1, 1, 38, 24, 3, 1216, 4, 1, 1, 2, 2, 0, 1, 2, 0, 1, 4, 0]","[1.0, 1.0, 38.0, 24.0, 3.0, 1216.0, 4.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, -0.0, 1.0, 4.0, 1.0]",1.0
12,578,0,"[1, 0, 27, 36, 0, 2820, 4, 1, 1, 2, 1, 0, 1, 2, 0, 1, 4, 0]","[1.0, 0.0, 27.0, 36.0, 0.0, 2820.0, 4.0, 0.0, 1.0, 2.0, 1.0, -0.0, 1.0, 2.0, 0.0, 1.0, 4.0, 0.0]",1.0
13,604,0,"[2, 0, 23, 10, 2, 1275, 4, 1, 1, 1, 1, 0, 1, 2, 0, 1, 2, 0]","[2.0, 0.0, 23.0, 10.0, 2.0, 1275.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -0.0, 1.0, 2.0, 1.0]",1.0
14,607,0,"[2, 0, 50, 36, 3, 2671, 4, 1, 1, 1, 1, 1, 2, 2, 0, 2, 4, 0]","[2.0, 0.0, 50.0, 36.0, 3.0, 2671.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, -0.0, 2.0, 4.0, 1.0]",1.0
15,610,0,"[2, 0, 22, 12, 4, 741, 4, 1, 1, 1, 1, 0, 0, 2, 1, 1, 3, 0]","[2.0, 0.0, 22.0, 12.0, 4.0, 741.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 3.0, 1.0]",1.0
16,618,0,"[2, 0, 21, 30, 2, 3441, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 4, 0]","[2.0, 0.0, 21.0, 30.0, 2.0, 3441.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, -0.0, 0.0, 4.0, 1.0]",1.0
17,630,0,"[2, 0, 28, 24, 3, 3660, 2, 1, 1, 1, 1, 0, 2, 2, 0, 1, 4, 0]","[2.0, 0.0, 28.0, 24.0, 3.0, 3660.0, 2.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, -0.0, 1.0, 4.0, 1.0]",1.0
