,datapoint,attr_val,data_values,flipset_values,score
0,885,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 53.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 795.0, 4.0, 1.0, 1.0, 1.0]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 4, 0, 57, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 794, 4, 1, 1, 1]",0.004204917358161488
1,548,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 24.0, 12.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 626.0, 4.0, 1.0, 1.0, 1.0]","[1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 4, 0, 29, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 625, 4, 1, 1, 1]",0.005255337526228716
2,60,0.0,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 27.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1391.0, 2.0, 1.0, 1.0, 1.0]","[0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 31, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 250, 2, 1, 1, 1]",0.007894739275703678
0,582,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 26.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1388.0, 4.0, 0.0, 1.0, 1.0]","[1, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 35, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1387, 4, 0, 1, 1]",0.009457018198497624
1,552,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 34.0, 48.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6999.0, 1.0, 1.0, 1.0, 2.0]","[0, 0, 1, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 45, 48, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6998, 1, 1, 1, 2]",0.011557858534632077
2,646,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 32.0, 30.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4583.0, 2.0, 1.0, 1.0, 2.0]","[0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 45, 30, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4583, 2, 1, 1, 2]",0.01365546218487395
0,217,1.0,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 23.0, 36.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3913.0, 2.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 2, 1, 36, 36, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3912, 2, 1, 1, 1]",0.01365869887076653
1,866,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 27.0, 18.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2389.0, 4.0, 1.0, 1.0, 1.0]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 40, 18, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2105, 4, 1, 1, 1]",0.014574680978366915
2,235,1.0,"[0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 30.0, 24.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1823.0, 4.0, 1.0, 1.0, 1.0]","[0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 45, 24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1822, 4, 1, 1, 1]",0.015759539206900982
0,100,0.0,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4.0, 0.0, 41.0, 24.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1469.0, 4.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 1, 0, 0, 4, 0, 56, 24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1468, 4, 0, 1, 1]",0.015759539206900982
