datapoint,attr_val,score
1373,1,1.0
9932,1,1.0
487,1,1.0
1541,1,1.0
1478,1,1.0
1464,1,1.0
8557,1,1.0
3976,1,1.0
8641,1,1.0
6549,1,1.0
4623,1,1.0
6405,1,1.0
6406,1,1.0
9252,1,1.0
6444,1,1.0
4747,1,1.0
6758,1,1.0
1387,1,1.0
8051,1,1.0
3271,1,1.0
2407,1,1.0
7890,1,1.0
2751,1,1.0
7789,1,1.0
2871,1,1.0
7823,1,1.0
3632,1,1.0
3613,1,1.0
2035,1,1.0
3650,1,1.0
7212,1,1.0
3738,1,1.0
2230,1,1.0
3337,1,1.0
7485,1,1.0
2093,1,1.0
2065,1,1.0
5364,1,1.0
457,1,1.0
6026,1,1.0
5380,1,1.0
6149,1,1.0
391,1,1.0
5625,1,1.0
5082,1,1.0
5097,1,1.0
274,1,1.0
6103,1,1.0
677,1,1.0
5999,1,1.0
574,1,1.0
5917,1,1.0
9976,1,1.0
5808,1,1.0
9349,1,1.0
4916,1,1.0
2908,1,1.0000000000000002
8837,1,1.0000000000000002
7127,1,1.4142135623730951
9845,1,2.0
51,1,2.0
4001,1,2.0
8429,1,2.0
4993,1,2.0
2390,1,2.0
6638,1,2.0
8979,1,2.0
2219,1,2.0
998,1,2.0
1002,1,2.0
4880,1,2.0
4601,1,2.0
4716,1,2.0
824,1,2.0
6341,1,2.0
6214,1,2.0
4161,1,2.0
4272,1,2.0
5311,1,2.0
417,1,2.0
3683,1,2.0
7234,1,2.0
7003,1,2.0
3811,1,2.0
3510,1,2.0
8286,1,2.0
4285,1,2.0
4078,1,2.0
3832,1,2.0000000000000004
9177,1,2.0000000000000004
6946,1,2.0000000000000004
2179,1,2.2360679774997894
4861,1,2.23606797749979
7057,1,2.23606797749979
4312,1,2.23606797749979
3840,1,2.23606797749979
5842,1,2.23606797749979
5415,1,2.23606797749979
7144,1,2.23606797749979
7356,1,2.23606797749979
1367,1,2.23606797749979
891,1,2.23606797749979
9456,1,2.23606797749979
9683,1,2.23606797749979
53,1,2.23606797749979
8981,1,2.23606797749979
2226,1,3.0
904,1,3.0
9042,1,3.0
3124,1,3.0
2421,1,3.0
2917,1,3.0
6779,1,3.0
8134,1,3.0
4705,1,3.0
4719,1,3.0
3186,1,3.0
3177,1,3.0000000000000018
6424,1,4.0
9234,1,4.0
7285,0,1.0
6466,1,4.0
4093,0,1.0
6947,1,4.0
1635,0,1.0
1601,1,4.0
8321,0,1.0
9829,0,1.0
3086,1,4.0
5023,0,1.0
2111,1,4.0
5371,0,1.0
2635,1,4.0
9529,0,1.0
2955,1,4.0
83,0,1.0
2299,1,4.0
7326,0,1.0000000000000002
3421,1,4.0
765,0,1.4142135623730951
2238,1,4.0
9048,0,1.4142135623730951
3609,1,4.0
913,0,1.4142135623730951
7211,1,4.0
2645,0,1.7320508075688772
3348,0,2.0
5699,1,4.0
9744,0,2.0
9449,1,4.0
6025,0,2.0
3440,1,4.000000000000001
160,0,2.0
1353,1,4.123105625617661
9067,0,2.0
3653,1,4.123105625617661
6051,0,2.0
5367,1,4.123105625617661
1239,0,2.0
1303,1,5.0
9452,0,2.0
9895,1,5.0
3447,0,2.0
5129,1,5.0
1392,0,2.0
5504,1,5.0
5665,0,2.0
3357,0,2.0
337,1,5.0
2460,0,2.0
5478,1,5.0
2907,0,2.0
9225,1,5.0
1007,0,2.0
5407,1,5.0
912,0,2.0
4265,1,5.0
963,0,2.0
3170,1,5.0
8004,0,2.0
4293,1,5.0
2478,0,2.0
2816,1,5.0
1670,0,2.0
1838,1,5.0
5532,0,2.0
3109,1,5.0
559,0,2.0000000000000004
4430,1,5.0
7562,0,2.0000000000000004
1210,0,2.0000000000000004
2762,1,5.0
1629,0,2.23606797749979
1365,1,5.0
9566,0,2.23606797749979
7986,1,5.0
5595,0,2.8284271247461903
3103,1,5.0
8638,0,2.8284271247461903
1830,1,5.0
9889,0,2.8284271247461903
2010,1,5.0990195135927845
8480,0,2.9999999999999987
7335,1,5.0990195135927845
3411,0,3.0
1599,1,5.0990195135927845
5379,0,3.0
4945,1,5.0990195135927845
1932,0,3.0
8877,1,5.0990195135927845
7155,0,3.0
7729,1,5.0990195135927845
1997,0,3.0
1254,1,5.0990195135927845
9585,0,3.0
6582,0,3.0
4577,1,5.0990195135927845
4536,0,3.0
623,1,5.385164807134505
1240,0,3.0
6798,1,5.385164807134505
6724,0,3.0
4255,1,5.830951894845301
2352,0,3.0
6660,1,5.830951894845301
4734,0,3.0
7093,1,9.055385138137416
3006,0,3.1622776601683795
9269,1,9.433981132056603
9851,0,3.1622776601683795
505,1,14.0
6737,0,3.1622776601683795
1237,1,15.524174696260026
6957,0,3.1622776601683795
8297,1,18.0
8844,0,3.1622776601683795
3240,1,18.439088914585774
2806,0,4.0
8619,1,20.049937655763426
3810,0,4.0
3090,1,29.427877939124322
709,0,4.0
8651,1,29.44486372867091
5752,0,5.0
633,1,30.066592756745816
4772,0,5.0
5926,1,30.331501776206203
8122,0,5.0
