datapoint,attr_val,score
545,1,1.0
503,1,1.0
496,1,1.0
481,1,1.0
477,1,1.0
368,1,1.0
378,1,1.0
387,1,1.0
395,1,1.0
416,1,1.0
438,1,1.0
998,1,1.0
637,1,1.0
364,1,1.0
639,1,1.0
650,1,1.0
927,1,1.0
935,1,1.0
938,1,1.0
966,1,1.0
983,1,1.0
946,1,1.0
893,1,1.0
887,1,1.0
829,1,1.0
666,1,1.0
701,1,1.0
744,1,1.0
805,1,1.0
812,1,1.0
813,1,1.0
355,1,1.0
229,1,1.0
205,1,1.0
154,1,1.0
255,1,1.0
112,1,1.0
87,1,1.0
76,1,1.0
63,1,1.0
35,1,1.0
29,1,1.0
7,1,1.0
999,1,1.0
315,1,1.0
287,1,1.0
286,1,1.0
272,1,1.0
334,1,1.0
293,1,1.0
328,1,1.0
1,0,1.0
528,0,1.0
535,0,1.0
556,0,1.0
569,0,1.0
570,0,1.0
578,0,1.0
604,0,1.0
607,0,1.0
610,0,1.0
618,0,1.0
630,0,1.0
634,0,1.0
593,0,1.0
367,0,1.0
374,0,1.0
375,0,1.0
381,0,1.0
397,0,1.0
444,0,1.0
446,0,1.0
462,0,1.0
922,0,1.0
924,0,1.0
937,0,1.0
915,0,1.0
945,0,1.0
950,0,1.0
953,0,1.0
985,0,1.0
986,0,1.0
660,0,1.0
721,0,1.0
722,0,1.0
735,0,1.0
736,0,1.0
771,0,1.0
783,0,1.0
818,0,1.0
821,0,1.0
640,0,1.0
474,0,1.0
342,0,1.0
218,0,1.0
203,0,1.0
201,0,1.0
197,0,1.0
181,0,1.0
167,0,1.0
166,0,1.0
347,0,1.0
141,0,1.0
130,0,1.0
118,0,1.0
86,0,1.0
73,0,1.0
67,0,1.0
59,0,1.0
15,0,1.0
11,0,1.0
10,0,1.0
9,0,1.0
111,0,1.0
257,0,1.0
333,0,1.0
320,0,1.0
285,0,1.0
339,0,1.0
284,0,1.0
291,0,1.0
295,0,1.0
274,0,1.0
309,0,1.0
145,1,1.4142135623730951
95,1,1.4142135623730951
101,1,1.4142135623730951
788,1,1.4142135623730951
840,1,1.4142135623730951
242,1,1.4142135623730951
235,1,1.4142135623730951
583,1,1.4142135623730951
525,1,1.4142135623730951
616,1,1.4142135623730951
194,1,1.4142135623730951
338,1,1.4142135623730951
988,1,1.4142135623730951
43,0,1.4142135623730951
866,0,1.4142135623730951
911,0,1.4142135623730951
761,0,1.4142135623730951
766,0,1.4142135623730951
727,0,1.4142135623730951
819,0,1.4142135623730951
407,0,1.4142135623730951
862,0,1.4142135623730951
596,0,1.4142135623730951
208,0,1.4142135623730951
153,0,1.4142135623730951
623,0,1.4142135623730951
312,0,1.4142135623730951
677,0,1.4142135623730951
289,0,1.4142135623730951
707,0,1.4142135623730951
273,1,1.7320508075688772
832,1,1.7320508075688772
79,0,1.7320508075688772
612,0,1.7320508075688772
815,0,1.7320508075688772
926,0,1.7320508075688772
131,1,2.0
993,1,2.0
896,0,2.0
704,0,2.0
470,0,2.0
466,0,2.0
301,0,2.0
973,1,2.23606797749979
538,1,2.23606797749979
814,1,2.23606797749979
152,1,2.23606797749979
714,1,2.23606797749979
706,1,2.23606797749979
191,1,2.23606797749979
522,1,2.23606797749979
789,1,2.23606797749979
18,0,2.23606797749979
952,0,2.23606797749979
359,0,2.23606797749979
996,0,2.23606797749979
44,0,2.23606797749979
739,0,2.23606797749979
728,0,2.23606797749979
500,0,2.23606797749979
504,0,2.23606797749979
321,0,2.23606797749979
332,0,2.449489742783178
116,0,7.14142842854285
230,1,24.041630560342607
831,0,26.019223662515373
