,datapoint,attr_val,score
,2464,1,1.0
,9561,1,1.0
,9000,0,1.0
,3289,1,1.0
,6549,1,1.0
,6585,0,1.0
,5012,1,1.0
,3363,0,1.0
,7148,1,1.4142135623730951
,9247,1,1.4142135623730951
,9476,0,1.4142135623730951
,904,1,1.4142135623730951
,8110,0,1.4142135623730951
,5849,0,1.4142135623730951
,5767,0,1.7320508075688772
,2278,1,1.7320508075688772
,7564,1,2.0
,3505,1,2.23606797749979
,2009,1,3.3166247903554
,6704,1,3.3166247903554
,4586,1,5.916079783099617
,5812,0,14.38749456993816
,5189,0,23.021728866442675
,2115,1,27.07397274136177
,5058,0,33.0
,7691,1,36.15245496505044
,11,1,37.0
,6065,0,49.05099387372289
,1271,0,55.081757415681636
,9269,1,79.15175298121956
,6009,1,105.06664551607231
,1017,1,131.00381673829202
,1121,1,177.00282483621552
,2769,1,184.01358645491368
,2340,0,186.00268815261785
,4578,1,195.05127530985283
,857,1,212.2851855405836
,8453,0,234.0726382984564
,4005,0,261.0517190136851
,420,0,265.00943379434625
,2439,1,302.00165562460086
,2428,1,323.0356017531195
,3326,0,337.0267051733437
,9819,0,349.0014326618159
,1585,0,393.03307748839677
,4862,1,452.0077432965059
,2453,0,457.0098467210526
,4380,1,500.00899991900144
,3313,1,534.0159173657654
,3534,1,543.016574332681
