,datapoint,attr_val,score
,2545,0,1.0
,1960,1,1.0
,3137,1,1.0
,1547,1,1.0
,3590,0,1.0
,242,1,1.0
,8516,1,1.0
,8321,0,1.0
,5564,1,1.4142135623730951
,7960,1,1.4142135623730951
,7531,0,1.4142135623730951
,7675,1,2.23606797749979
,8709,1,2.23606797749979
,1365,1,2.8284271247461903
,1263,1,3.3166247903554
,3103,1,3.4641016151377544
,2852,1,3.8729833462074175
,8564,0,8.0
,6358,1,22.11334438749598
,589,1,24.0
,5743,0,25.05992817228333
,2326,0,38.0
,1825,1,40.024992192378996
,2048,0,42.01190307520001
,9653,1,52.00961449578339
,516,1,70.01428425685718
,985,1,85.09994124557313
,293,1,95.01052573267869
,6140,1,99.0
,9537,0,104.00480758118827
,180,1,108.02777420645118
,4730,0,116.04740410711477
,1826,0,134.01119356232894
,6537,1,154.0
,633,1,158.0063289871643
,8377,1,162.05246064160832
,1496,0,164.00304875214977
,4043,0,164.00609744762542
,9762,0,188.0
,914,0,218.02522789805766
,7097,1,227.01321547434196
,4219,1,288.0624932197873
,1254,1,289.0432493589843
,4921,0,308.00487009136725
,5583,0,333.00600595184466
,3240,1,425.0199995294339
,8635,1,581.1944597120657
,8947,1,660.0136362227677
,427,0,877.0342068585468
,1831,0,3275.1012198098547
