,datapoint,attr_val,score
,5639,0,1.0
,5682,1,1.0
,677,1,1.0
,8069,1,1.0
,5082,1,1.0
,6999,1,1.0
,5819,1,1.0
,546,1,1.0
,8371,1,1.0
,4050,1,1.4142135623730951
,3817,0,1.4142135623730951
,3780,1,1.4142135623730951
,78,1,1.4142135623730951
,2625,1,1.4142135623730951
,6614,0,1.4142135623730951
,6653,0,1.4142135623730951
,2278,1,1.7320508075688772
,4110,0,1.7320508075688772
,8709,1,2.23606797749979
,8502,1,2.23606797749979
,7869,1,3.741657386773941
,1815,0,4.0
,8004,0,9.110433579144301
,5497,0,10.04987562112089
,5951,0,17.029386365926403
,7547,0,22.0454076850486
,6583,0,24.041630560342607
,1974,0,32.09361307176243
,4803,1,33.151168908501546
,2857,1,36.0
,1314,1,37.40320841853009
,2710,1,49.0
,3870,0,56.01785429664367
,9889,0,62.07253821135398
,2648,1,64.00781202322104
,2243,0,92.0
,2616,1,95.0
,3249,1,112.22299229658778
,7812,0,118.06777714516352
,7232,0,162.00617272190587
,3316,1,222.02026934494063
,2359,1,257.0077819833477
,2461,1,278.0233803118004
,9423,1,302.0446986788545
,2458,1,389.02699135149993
,2244,0,397.06548578288687
,2634,1,420.00833325066304
,134,1,451.00997771667977
,1675,0,512.0175778232618
,8007,1,3191.081634806606
