,datapoint,attr_val,score
,8395,0,1.0
,6971,1,1.0
,8758,1,1.0
,1633,1,1.0
,6670,1,1.0
,1321,1,1.0
,3113,1,1.0
,2993,1,1.0
,9765,1,1.0
,5907,1,1.0
,9306,1,1.0000000000000002
,6132,0,1.4142135623730951
,6626,0,1.4142135623730951
,9633,1,2.0
,7805,0,2.0
,7922,1,2.0
,2657,1,2.0
,3857,1,2.0
,4090,0,2.0
,4028,1,2.0
,3412,1,2.23606797749979
,7014,1,2.23606797749979
,189,0,2.23606797749979
,1427,0,2.9999999999999987
,4688,1,4.0
,3394,1,4.0
,5254,1,4.123105625617661
,5916,1,5.0
,3651,1,5.0
,3898,1,5.0
,2996,1,5.0990195135927845
,7093,1,9.055385138137416
,7097,1,73.17103251970688
,504,0,90.0
,7622,1,97.1493695296063
,4847,1,111.04053313993047
,2868,1,200.6738647656939
,4304,1,350.0414261198237
,5277,1,473.02748334531265
,2040,1,656.747287775138
,5618,0,1171.8041645257965
,7646,0,1269.040976485787
,8012,1,1660.00271084116
,9374,1,1660.0048192701126
,954,1,1840.0010869562009
,508,1,1933.7280056926309
,3285,0,2769.393796483267
,9867,0,5161.262054962914
,2371,1,5619.999999999997
,3912,1,6154.357805652837
