,datapoint,attr_val,score
,9721,0,1.0
,9176,1,1.0
,1382,1,1.0
,1211,1,1.0
,5104,1,1.0
,9907,1,1.0
,5808,1,1.0
,2618,0,1.0000000000000002
,210,0,2.0
,1082,0,2.0
,2575,0,2.0
,7170,1,2.0
,1513,1,2.0
,5500,1,2.23606797749979
,234,1,2.23606797749979
,1636,0,2.23606797749979
,5307,0,2.9999999999999987
,710,1,3.0
,1932,0,3.0
,1264,1,3.0
,9272,0,3.1622776601683795
,6977,1,4.0
,7840,1,4.0
,5504,1,5.0
,9124,1,5.0
,3117,1,5.0990195135927845
,432,1,5.0990195135927845
,4229,1,5.0990195135927845
,7032,1,10.198039027185569
,549,1,13.038404810405297
,2576,1,20.42057785666214
,2358,1,30.265491900843116
,897,0,40.01249804748511
,4227,1,230.0
,2686,0,330.0
,7411,0,370.0013513488836
,7777,1,430.02906878489034
,7250,1,500.00899991900144
,1488,1,600.0008333327546
,3583,0,604.173816049653
,3586,1,756.0033068710745
,8387,1,807.7901955334689
,4707,1,940.0021276571664
,3704,1,997.8040889874125
,9161,0,1079.6411440844593
,1771,0,1347.6030572835607
,9359,1,1870.0010695184105
,3742,0,1998.5056917607212
,1772,0,2680.000746268553
,1105,1,4930.380309874687
