,datapoint,attr_val,score
,9541,0,0.001702062294544176
,6572,0,0.0020474452234048933
,9234,1,0.002197066393273162
,748,0,0.0022243442704354844
,7611,1,0.002732309082860677
,1716,0,0.0028183989071841435
,8321,0,0.002972422845834613
,9543,0,0.0035587188612099647
,6587,0,0.003853843480623358
,969,1,0.004997753620894397
,9644,0,0.005144304709952145
,3732,1,0.0052955320234247755
,4671,0,0.005755380827203714
,2215,0,0.006371936401329286
,3326,0,0.006613344936206392
,2608,1,0.007348492975570689
,7072,0,0.008092219641511392
,8107,0,0.008335501802753501
,242,1,0.009631186623376914
,7845,1,0.016666666666666666
,7910,1,0.016666666666666666
,8288,1,0.016666666666666666
,7568,1,0.01671679839622569
,7955,0,0.01747853536785176
,5142,0,0.017925979969919605
,3585,1,0.018913255587446942
,309,0,0.02288018821213171
,7996,1,0.029437911212859005
,4779,1,0.030364998426794586
,9429,0,0.033438394008646656
,3832,1,0.03345160009897958
,9064,0,0.033511656716381635
,1295,0,0.033717181991928614
,7246,1,0.03740594015144496
,4265,1,0.043496067018058485
,1692,0,0.047784074733096094
,3567,0,0.05007822326706909
,2237,1,0.05014789186190042
,9566,0,0.050225160288239805
,1926,1,0.0502975989721933
,7287,1,0.0503797665864851
,2045,0,0.0505516190391779
,1891,1,0.05067266503652573
,1636,0,0.050701484872683784
,5289,0,0.05074848714077042
,7622,1,0.05673312509655809
,4287,0,0.0583599170897633
,4533,0,0.06333865631604478
,1126,1,0.06734805930064416
,4900,1,0.07563256643778166
