,datapoint,attr_val,score
,274,0,1.0
,999,1,1.0
,111,0,1.0
,9,0,1.0
,11,0,1.0
,35,1,1.0
,86,0,1.0
,87,1,1.0
,112,1,1.0
,347,0,1.0
,197,0,1.0
,205,1,1.0
,229,1,1.0
,355,1,1.0
,813,1,1.0
,887,1,1.0
,985,0,1.0
,983,1,1.0
,966,1,1.0
,945,0,1.0
,938,1,1.0
,927,1,1.0
,462,0,1.0
,395,1,1.0
,496,1,1.0
,593,0,1.0
,610,0,1.0
,578,0,1.0
,528,0,1.0
,707,0,1.4142135623730951
,194,1,1.4142135623730951
,616,1,1.4142135623730951
,623,0,1.4142135623730951
,208,0,1.4142135623730951
,242,1,1.4142135623730951
,727,0,1.4142135623730951
,766,0,1.4142135623730951
,911,0,1.4142135623730951
,95,1,1.4142135623730951
,866,0,1.4142135623730951
,43,0,1.4142135623730951
,131,1,2.0
,466,0,2.0
,896,0,2.0
,152,1,2.23606797749979
,538,1,2.23606797749979
,44,0,2.23606797749979
,359,0,2.23606797749979
,18,0,2.23606797749979
,116,0,7.14142842854285
