,datapoint,attr_val,score
,578,0,1.0
,593,0,1.0
,481,1,1.0
,367,0,1.0
,375,0,1.0
,395,1,1.0
,998,1,1.0
,922,0,1.0
,924,0,1.0
,950,0,1.0
,953,0,1.0
,966,1,1.0
,983,1,1.0
,986,0,1.0
,887,1,1.0
,721,0,1.0
,722,0,1.0
,805,1,1.0
,474,0,1.0
,218,0,1.0
,205,1,1.0
,201,0,1.0
,141,0,1.0
,118,0,1.0
,255,1,1.0
,112,1,1.0
,15,0,1.0
,9,0,1.0
,257,0,1.0
,999,1,1.0
,286,1,1.0
,339,0,1.0
,291,0,1.0
,272,1,1.0
,334,1,1.0
,43,0,1.4142135623730951
,911,0,1.4142135623730951
,766,0,1.4142135623730951
,525,1,1.4142135623730951
,623,0,1.4142135623730951
,312,0,1.4142135623730951
,289,0,1.4142135623730951
,338,1,1.4142135623730951
,79,0,1.7320508075688772
,815,0,1.7320508075688772
,896,0,2.0
,470,0,2.0
,131,1,2.0
,301,0,2.0
,706,1,2.23606797749979
