,datapoint,attr_val,score
,528,0,1.0
,545,1,1.0
,503,1,1.0
,604,0,1.0
,610,0,1.0
,477,1,1.0
,395,1,1.0
,397,0,1.0
,416,1,1.0
,444,0,1.0
,462,0,1.0
,637,1,1.0
,922,0,1.0
,985,0,1.0
,986,0,1.0
,660,0,1.0
,735,0,1.0
,805,1,1.0
,818,0,1.0
,355,1,1.0
,342,0,1.0
,181,0,1.0
,154,1,1.0
,76,1,1.0
,10,0,1.0
,315,1,1.0
,272,1,1.0
,293,1,1.0
,274,0,1.0
,145,1,1.4142135623730951
,95,1,1.4142135623730951
,766,0,1.4142135623730951
,788,1,1.4142135623730951
,819,0,1.4142135623730951
,407,0,1.4142135623730951
,840,1,1.4142135623730951
,235,1,1.4142135623730951
,596,0,1.4142135623730951
,79,0,1.7320508075688772
,612,0,1.7320508075688772
,815,0,1.7320508075688772
,470,0,2.0
,131,1,2.0
,973,1,2.23606797749979
,996,0,2.23606797749979
,814,1,2.23606797749979
,739,0,2.23606797749979
,714,1,2.23606797749979
,706,1,2.23606797749979
,116,0,7.14142842854285
