,datapoint,attr_val,score
,953,0,0.5047547985083594
,821,0,0.5054660093034082
,950,0,0.5090582235438219
,397,0,0.5128590430483491
,630,0,0.5165599541486401
,634,0,0.5213577366750841
,255,1,0.5220409595749793
,660,0,0.5260945892082292
,966,1,0.5268227853292282
,118,0,0.5311299747644496
,829,1,0.5388190820049101
,67,0,0.5396731539133931
,328,1,0.540549535340873
,666,1,0.5462956505442538
,167,0,0.5463171756761552
,721,0,0.5465018678432927
,130,0,0.5483159692110997
,347,0,0.5531895409328444
,201,0,0.5540444163615953
,593,0,0.5587005298733044
,998,1,0.5627112676130137
,309,0,0.5662951970242974
,831,0,0.5672514664915597
,862,0,0.5692905460135766
,338,1,0.5791257067028637
,819,0,0.5828482650245899
,235,1,0.5853282891676164
,407,0,0.5864275123371948
,788,1,0.5878185223974757
,301,0,0.5878630256512549
,896,0,0.6022120743428252
,289,0,0.6069223718923085
,707,0,0.612031935140039
,583,1,0.6247507637849796
,273,1,0.6397655113178111
,359,0,0.6568824491878453
,771,0,0.6582838516619911
,570,0,0.660462078352001
,274,0,0.6696763719885104
,952,0,0.6770486873078201
,504,0,0.6807007237143763
,986,0,0.6915439371772796
,76,1,0.6971213717155617
,381,0,0.7107058275723754
,295,0,0.7301616331704683
,927,1,0.7370939022706031
,63,1,0.7433216378462147
,286,1,0.7473648889392641
,9,0,0.7706174603188077
,677,0,0.8473766648729185
