,datapoint,attr_val,score
,935,1,1.0
,111,0,1.0
,116,0,1.0
,130,0,1.0
,998,1,1.0
,783,0,1.0
,593,0,1.0
,630,0,1.0
,701,1,1.0
,893,1,1.0
,466,0,1.0
,862,0,1.0
,315,1,1.0
,355,1,1.0
,368,1,1.0
,821,0,1.0
,201,0,1.0
,503,1,1.0
,481,1,1.0
,813,1,1.0000000000000002
,407,0,1.4142135623730951
,191,1,2.0
,273,1,2.0
,446,0,2.0
,766,0,2.0
,29,1,2.0
,996,0,2.0
,470,0,2.0
,840,1,2.0000000000000004
,504,0,2.23606797749979
,704,0,2.23606797749979
,287,1,2.23606797749979
,101,1,4.123105625617661
,194,1,5.0990195135927845
,242,1,6.0827625302982185
,286,1,10.246950765959598
,578,0,12.247448713915892
,359,0,49.04079934095692
,706,1,63.22973983814894
,973,1,111.46748404803976
,154,1,194.0
,953,0,199.0
,986,0,206.07037632808846
,805,1,1532.0
,87,1,2527.0
,332,0,2981.194894668915
,381,0,5237.000095474506
,374,0,5249.007811005808
,378,1,5337.0
,95,1,8344.001198465878
