,datapoint,attr_val,score
,481,1,1.0
,821,0,1.0
,364,1,1.0
,339,0,1.0
,735,0,1.0
,893,1,1.0
,650,1,1.0
,593,0,1.0
,545,1,1.0
,998,1,1.0
,338,1,1.0
,946,1,1.0
,130,0,1.0
,86,0,1.0
,10,0,1.0
,623,0,1.4142135623730951
,235,1,1.4142135623730951
,896,0,2.0
,993,1,2.0
,29,1,2.0
,911,0,2.0
,438,1,2.0
,397,0,2.0
,866,0,2.0
,191,1,2.0
,287,1,2.23606797749979
,44,0,2.23606797749979
,739,0,2.23606797749979
,522,1,5.385164807134505
,76,1,7.280109889280517
,375,0,8.0
,444,0,8.06225774829855
,528,0,9.273618495495704
,578,0,12.247448713915892
,938,1,19.104973174542803
,525,1,89.00561780022652
,538,1,162.0401184892186
,771,0,188.01063799689632
,154,1,194.0
,953,0,199.0
,43,0,518.000965250066
,208,0,1037.000482159965
,59,0,1388.0241352368482
,637,1,1428.0
,736,0,1613.001239925128
,927,1,2006.0099700649546
,18,0,2218.000225428302
,333,0,2333.0
,832,1,2835.0017636678813
,95,1,8344.001198465878
