,datapoint,attr_val,score
,416,1,1.0
,203,0,1.0
,367,0,1.0
,339,0,1.0
,735,0,1.0
,328,1,1.0
,387,1,1.0
,347,0,1.0
,466,0,1.0
,634,0,1.0
,618,0,1.0
,111,0,1.0
,153,0,1.0
,922,0,1.0
,67,0,1.0
,988,1,1.0
,623,0,1.4142135623730951
,896,0,2.0
,996,0,2.0
,993,1,2.0
,707,0,2.0
,583,1,2.0
,29,1,2.0
,911,0,2.0
,438,1,2.0
,866,0,2.0
,840,1,2.0000000000000004
,287,1,2.23606797749979
,739,0,2.23606797749979
,500,0,2.23606797749979
,293,1,3.0
,728,0,5.385164807134505
,829,1,6.0
,76,1,7.280109889280517
,375,0,8.0
,569,0,10.198039027185569
,286,1,10.246950765959598
,11,0,25.592967784139447
,706,1,63.22973983814894
,973,1,111.46748404803976
,999,1,149.2849624041216
,181,0,166.00301202086666
,334,1,235.0
,924,0,651.0
,945,0,757.068689089702
,983,1,904.0022123866735
,805,1,1532.0
,272,1,2774.0001802451275
,381,0,5237.000095474506
,714,1,5874.037878665748
