,time
0,2.242818832397461
1,2.336606025695801
2,2.237387180328369
3,2.315943956375122
4,2.463186025619507
5,2.7377820014953613
6,2.6198160648345947
7,2.122335195541382
8,2.9237818717956543
9,2.4322681427001953
10,2.5175721645355225
11,2.5346121788024902
12,2.5055410861968994
13,2.7009689807891846
14,2.208974838256836
15,2.624579906463623
16,2.3002328872680664
17,2.3773417472839355
18,2.378223180770874
19,2.4611289501190186
20,2.6514029502868652
21,2.2921559810638428
22,2.5470757484436035
23,2.2663869857788086
24,2.5469889640808105
25,2.3158440589904785
26,2.2617950439453125
27,2.557431936264038
28,2.04145884513855
29,2.2080118656158447
30,2.283444404602051
31,2.2225120067596436
32,2.327440023422241
33,2.2844691276550293
34,2.442615032196045
35,2.1709537506103516
36,2.1725199222564697
37,2.2261717319488525
38,2.239327907562256
39,2.295367956161499
40,2.3487203121185303
41,2.4670488834381104
42,2.080867290496826
43,2.1491410732269287
44,2.233114004135132
45,2.1587090492248535
46,2.258265733718872
47,2.2478890419006348
48,2.517014980316162
