,time
0,2.074605703353882
1,2.461649179458618
2,2.382206916809082
3,2.7770376205444336
4,3.121196985244751
5,3.107593059539795
6,2.714939832687378
7,2.0289740562438965
8,2.4340882301330566
9,2.4109559059143066
10,2.8323569297790527
11,3.776437997817993
12,3.24064302444458
13,2.838900089263916
14,2.046375036239624
15,2.539442777633667
16,2.602064847946167
17,3.0122809410095215
18,3.3040530681610107
19,3.172750949859619
20,2.8319129943847656
21,2.106389045715332
22,2.3676950931549072
23,2.4064645767211914
24,2.860478162765503
25,3.2818470001220703
26,3.1126198768615723
27,2.893386125564575
28,2.1373820304870605
29,2.4154770374298096
30,2.5217068195343018
31,2.7488410472869873
32,3.3839309215545654
33,3.197964906692505
34,2.9948599338531494
35,2.0979719161987305
36,2.647149085998535
37,2.4318549633026123
38,2.785979986190796
39,3.1539828777313232
40,3.185641050338745
41,2.7986559867858887
42,2.0445687770843506
43,2.3980460166931152
44,2.438148021697998
45,2.741313934326172
46,3.1630489826202393
47,3.132761001586914
48,2.778947114944458
