,time
0,0.06156110763549805
1,0.07562112808227539
2,0.07578611373901367
3,0.10743999481201172
4,0.12441587448120117
5,0.11766600608825684
6,0.12274980545043945
7,0.05421280860900879
8,0.0684502124786377
9,0.08809685707092285
10,0.09260225296020508
11,0.11724305152893066
12,0.12655997276306152
13,0.1368119716644287
14,0.05313587188720703
15,0.06797599792480469
16,0.09087991714477539
17,0.09783792495727539
18,0.11675310134887695
19,0.11410117149353027
20,0.1338179111480713
21,0.05679202079772949
22,0.07060790061950684
23,0.08206415176391602
24,0.22673392295837402
25,0.23048901557922363
26,0.12393498420715332
27,0.12260818481445312
28,0.0515599250793457
29,0.06900191307067871
30,0.08393073081970215
31,0.09280204772949219
32,0.1210329532623291
33,0.18521785736083984
34,0.18825602531433105
35,0.062162160873413086
36,0.06674575805664062
37,0.08487081527709961
38,0.0970301628112793
39,0.11489987373352051
40,0.13050413131713867
41,0.14522504806518555
42,0.06716012954711914
43,0.0854792594909668
44,0.07909727096557617
45,0.10737109184265137
46,0.1229100227355957
47,0.13902902603149414
48,0.1458580493927002
