Dataset,cg_method,base,rank,avg_time
german,AC,dist,FAIR,0.00017368793487548828
german,AC,prob,FAIR,0.0002843141555786133
german,AC,dist,FOEIR,36.52132121562958
german,AC,prob,FOEIR,5.634387534459432
german,AC,dist,AC,0.15732012962808414
german,AC,prob,AC,0.30393724538842026
german,AR,dist,FAIR,0.00021207332611083984
german,AR,dist,FOEIR,17.66859381198883
german,AR,dist,AC,0.14746319517797354
german,MACE,dist,FAIR,8.499622344970703e-05
german,MACE,dist,FOEIR,2.236329944928487
german,MACE,dist,AC,0.10606313238338548
credit,AC,dist,FAIR,0.0005942201614379883
credit,AC,prob,FAIR,0.0005922126770019531
credit,AC,dist,FOEIR,8.082113956269763
credit,AC,prob,FOEIR,4.162815281550089
credit,AC,dist,AC,2.3643927720128275
credit,AC,prob,AC,17.67138568722472
credit,AR,dist,FAIR,0.00047821402549743655
credit,AR,dist,FOEIR,9.797486941019693
credit,AR,dist,AC,2.7334199681573983
credit,MACE,dist,FAIR,0.0005530691146850585
credit,MACE,dist,FOEIR,3.158838454882304
credit,MACE,dist,AC,0.7098115463646091
